N	2gram	Voloshinov_1	KFilosof
1	может быть	17	43
2	в его	4	39
3	в нем	4	31
4	не может	8	27
5	и не	4	26
6	и в	16	22
7	для меня	2	20
8	не есть	2	19
9	и его	8	17
10	только в	4	16
11	точки зрения	8	13
12	в этом	9	13
13	ни в	5	12
14	для него	6	12
15	и это	6	12
16	все эти	5	11
17	в своей	2	11
18	все это	4	10
19	во всех	3	10
20	с точки	6	10
21	и есть	3	9
22	но и	4	9
23	как бы	5	9
24	и все	4	9
25	его целом	2	9
26	и для	2	9
27	было бы	2	8
28	жизни и	3	8
29	на основе	2	7
30	конечно не	6	7
31	что и	2	7
32	то что	3	7
33	в том	3	6
34	но это	2	6
35	момент в	2	6
36	отношение к	5	6
37	и только	9	6
38	и действительно	2	6
39	отнюдь не	4	6
40	совершенно не	8	6
41	и их	4	6
42	он не	2	6
43	никогда не	2	5
44	хотя бы	4	5
45	то же	2	5
46	и содержание	2	5
47	в основе	3	5
48	но как	2	5
49	но ведь	2	5
50	его в	4	5
51	с ним	2	5
52	но в	4	5
53	не знает	2	5
54	как и	2	5
55	не только	7	5
56	моей жизни	2	4
57	что в	3	4
58	ни было	2	4
59	для нас	2	4
60	при этом	6	4
61	к ним	2	4
62	чем не	3	4
63	с ними	4	4
64	в одном	3	4
65	мира и	3	4
66	том что	3	4
67	только как	3	4
68	во всей	2	4
69	а в	3	4
70	в каком	2	4
71	в чем	5	4
72	что это	2	3
73	не менее	2	3
74	и пр	12	3
75	на язык	3	3
76	и на	4	3
77	о том	2	3
78	мы не	2	3
79	сознания и	2	3
80	этом смысле	3	3
81	по своему	2	3
82	еще не	5	3
83	и этот	2	3
84	нет и	2	3
85	на самом	4	3
86	самом деле	6	3
87	что не	2	3
88	могут быть	3	3
89	и этим	2	3
90	прежде всего	9	2
91	войти в	2	2
92	и как	3	2
93	совсем не	2	2
94	и мы	2	2
95	т.е не	2	2
96	себя и	2	2
97	в него	5	2
98	для этого	2	2
99	и других	2	2
100	все остальные	2	2
101	может иметь	2	2
102	к себе	3	2
103	говорить о	2	2
104	я и	6	2
105	с его	7	2
106	в жизни	2	2
107	к этому	2	2
108	что он	2	2
109	не будет	2	2
110	всех его	2	2
111	и может	4	2
112	со всеми	2	2
113	кажется что	2	2
114	и потому	3	2
115	оно не	2	2
116	так и	4	2
117	сводится к	2	2
118	и она	3	2
119	в этой	4	2
120	едва ли	3	2
121	в области	3	2
