N	2gram	Losev_Prob_3	Mirosoze
1	может быть	28	30
2	не только	14	29
3	и в	44	28
4	не может	7	28
5	но и	10	25
6	а не	18	25
7	он не	8	24
8	в этом	17	20
9	не было	5	18
10	не в	13	16
11	потому что	25	16
12	переходит в	2	15
13	в ней	5	15
14	в своей	5	15
15	и есть	5	14
16	никогда не	6	14
17	в нем	9	13
18	и это	9	12
19	для него	3	11
20	в самом	3	11
21	и не	35	11
22	что в	8	10
23	в своем	5	10
24	прежде всего	3	10
25	и все	3	10
26	что он	9	10
27	было бы	8	10
28	и потому	7	10
29	с тем	5	9
30	в его	9	9
31	не есть	35	9
32	и его	5	9
33	но не	3	8
34	в котором	2	8
35	не был	2	7
36	в самой	2	7
37	того что	8	7
38	в конце	5	7
39	но в	12	7
40	нет ничего	6	7
41	в себе	8	7
42	он сам	4	6
43	в том	21	6
44	в этой	3	6
45	все это	5	6
46	вместе с	2	6
47	только в	19	6
48	в которой	2	6
49	это не	9	5
50	если нет	2	5
51	у нас	10	5
52	как и	10	5
53	то что	23	5
54	у человека	2	5
55	уже в	3	4
56	в этих	2	4
57	с этой	3	4
58	есть уже	3	4
59	человека но	3	4
60	смысле слова	8	4
61	ни с	4	4
62	в их	2	4
63	отношения к	3	4
64	и по	2	4
65	а в	5	4
66	в которых	3	4
67	точки зрения	5	4
68	и там	2	4
69	это и	7	4
70	от него	2	4
71	она не	3	4
72	за пределы	5	4
73	что и	9	4
74	есть не	5	4
75	уже не	7	4
76	тем что	4	4
77	значит что	7	4
78	к тому	3	3
79	для нас	16	3
80	это есть	3	3
81	это значит	4	3
82	но если	6	3
83	только и	8	3
84	не имеет	9	3
85	не так	3	3
86	его не	2	3
87	с этим	2	3
88	его в	3	3
89	так как	9	3
90	то есть	34	3
91	и с	9	3
92	для них	2	3
93	с собой	3	3
94	в ее	4	3
95	том что	12	3
96	есть и	2	3
97	ничего не	3	3
98	себя в	2	3
99	когда он	2	3
100	будто бы	3	3
101	хотя бы	3	3
102	по своему	2	2
103	и от	9	2
104	своих героев	2	2
105	его как	3	2
106	с их	2	2
107	с самим	3	2
108	и нет	2	2
109	о чем	2	2
110	есть также	2	2
111	на этот	4	2
112	в виду	10	2
113	жизни и	6	2
114	могут быть	2	2
115	отличается от	4	2
116	все эти	7	2
117	и что	7	2
118	есть только	4	2
119	время как	4	2
120	также и	16	2
121	сказать что	16	2
122	даже и	16	2
123	он и	2	2
124	в начале	2	2
125	самого себя	3	2
126	как бы	9	2
127	о том	6	2
128	том смысле	3	2
129	не значит	3	2
130	когда мы	15	2
131	бы в	2	2
132	с ним	7	2
133	в основе	2	2
134	с которой	2	2
135	а как	2	2
136	если бы	3	2
137	и во	2	2
138	литературы и	2	2
139	в то	9	2
140	то время	4	2
141	как будто	3	2
142	до сих	2	2
143	никто не	2	2
144	и к	6	2
145	все же	6	2
146	по сравнению	2	2
147	с ней	5	2
148	сих пор	2	2
149	как в	5	2
150	и сама	2	2
151	человеческой жизни	2	2
152	она может	2	2
153	л толстой	2	2
154	разного рода	2	2
155	в той	3	2
156	и у	2	2
157	и как	3	2
158	и для	2	2
159	конце концов	3	2
160	образ и	3	2
161	он в	2	2
162	эти слова	2	2
163	в каком	4	2
164	от его	2	2
