N	2gram	Bakhtin_sl_2	Sotsiolo
1	истории литературы	3	10
2	все это	16	7
3	в том	5	5
4	в этом	16	5
5	не в	9	3
6	для нас	5	3
7	в его	7	3
8	и в	39	3
9	не только	24	3
10	или даже	3	2
11	по отношению	4	2
12	еще не	7	2
13	она может	2	2
14	только в	5	2
15	это и	2	2
16	таким образом	8	2
17	том что	5	2
18	далеко не	2	2
19	то же	4	2
20	отношению к	4	2
21	то что	2	2
22	может быть	37	2
23	за пределы	2	2
24	в результате	2	2
25	но и	21	2
26	в смысле	4	2
27	как бы	7	2
28	должна быть	3	2
29	исторической жизни	3	2
30	что в	3	2
