N	2gram	Voloshinov_1	Problemy
1	и в	15	46
2	и не	16	27
3	может быть	13	23
4	как бы	11	19
5	не может	13	19
6	в нем	4	17
7	в этом	13	16
8	не только	5	14
9	и т.п	2	14
10	но и	4	12
11	как и	6	12
12	как мы	10	12
13	и на	3	11
14	точки зрения	13	11
15	в одном	3	11
16	а не	2	11
17	не в	4	10
18	между ними	2	10
19	прежде всего	11	9
20	в том	4	9
21	в большинстве	4	9
22	в самом	6	9
23	и все	4	9
24	вовсе не	2	9
25	и к	7	9
26	в его	9	9
27	с точки	10	9
28	большинстве случаев	5	8
29	до сих	3	8
30	конечно не	3	8
31	сих пор	3	8
32	и с	7	7
33	по себе	2	7
34	еще не	7	7
35	как раз	2	7
36	в себе	4	7
37	слова и	2	7
38	никогда не	7	6
39	ни в	6	6
40	но это	2	6
41	в него	2	6
42	к себе	3	6
43	но в	9	6
44	что он	8	6
45	мы увидим	4	6
46	то же	7	6
47	все это	5	6
48	и его	15	6
49	только в	6	6
50	это не	2	5
51	о себе	2	5
52	себе самом	3	5
53	же время	5	5
54	при этом	7	5
55	к нему	7	5
56	жизни и	5	5
57	по отношению	11	5
58	рядом с	2	5
59	ведь и	2	5
60	в то	6	5
61	так как	9	5
62	в жизни	5	5
63	с его	8	5
64	у него	3	5
65	за пределы	2	5
66	отношению к	9	5
67	во всех	8	5
68	если мы	5	5
69	так сказать	3	5
70	что в	6	4
71	в этих	2	4
72	можно сказать	4	4
73	до конца	5	4
74	таким образом	21	4
75	все эти	9	4
76	и наконец	10	4
77	должно быть	2	4
78	потому что	4	4
79	вся жизнь	2	4
80	он и	2	4
81	мы не	4	4
82	мы можем	12	4
83	не знает	3	4
84	как в	3	4
85	этих двух	2	4
86	том что	5	4
87	но не	5	4
88	совершенно не	2	4
89	он не	4	4
90	все же	5	4
91	то что	10	4
92	в процессе	4	4
93	но эти	2	4
94	так и	10	4
95	приводит к	2	4
96	в себя	5	4
97	уже не	5	4
98	самом деле	7	4
99	на себя	2	4
100	и другие	2	3
101	себя и	3	3
102	в отношении	2	3
103	из этих	4	3
104	человека и	6	3
105	не могут	3	3
106	мы и	4	3
107	в своем	2	3
108	на этом	5	3
109	второго периода	4	3
110	одним из	3	3
111	но если	2	3
112	и для	2	3
113	отношение к	7	3
114	и до	3	3
115	и только	4	3
116	с помощью	9	3
117	и даже	2	3
118	конечно и	3	3
119	их в	2	3
120	бы в	2	3
121	если бы	3	3
122	в условиях	3	3
123	в различных	2	3
124	с ее	3	3
125	более того	2	3
126	и при	3	3
127	и что	3	3
128	она не	2	3
129	было бы	6	3
130	мы уже	5	3
131	в своей	9	3
132	и о	3	3
133	что и	2	3
134	себя в	2	3
135	войти в	3	3
136	на него	4	3
137	что же	4	3
138	только на	2	3
139	в центре	3	3
140	еще более	2	3
141	той же	2	3
142	значение для	2	3
143	сам по	2	3
144	правда в	2	3
145	в этой	5	3
146	далеко не	4	3
147	дело в	2	3
148	и этим	3	3
149	не менее	3	2
150	он сам	4	2
151	для этого	4	2
152	в одной	2	2
153	мысли и	4	2
154	на все	2	2
155	к тому	4	2
156	все время	4	2
157	следовательно и	2	2
158	но все	2	2
159	оно и	6	2
160	и должны	3	2
161	смысле слова	2	2
162	для него	5	2
163	ведь мы	2	2
164	во сне	2	2
165	к другим	2	2
166	и старается	2	2
167	значение в	3	2
168	отношения к	2	2
169	не было	4	2
170	те же	4	2
171	они не	2	2
172	и по	5	2
173	а в	6	2
174	увидим что	4	2
175	сказать что	6	2
176	в узком	2	2
177	что мы	2	2
178	с ним	12	2
179	между тем	2	2
180	сознания и	5	2
181	с этим	6	2
182	а следовательно	2	2
183	этом мы	3	2
184	у нас	3	2
185	одна из	3	2
186	все что	9	2
187	есть и	2	2
188	в заключение	3	2
189	об этом	4	2
190	к ней	2	2
191	на почве	2	2
192	и пр	9	2
193	вместе с	4	2
194	бы и	2	2
195	узком смысле	2	2
196	и через	2	2
197	что такое	3	2
198	хотя бы	7	2
199	ничего не	2	2
200	в данном	3	2
201	во всяком	4	2
202	могут быть	6	2
203	может стать	3	2
204	мы конечно	2	2
