N	2gram	Losev_Prob_3	FransuaR
1	и в	44	29
2	то есть	34	21
3	таким образом	9	20
4	и не	35	16
5	и все	3	13
6	в этой	3	13
7	как и	10	12
8	но в	12	12
9	так и	10	11
10	в этом	17	11
11	то же	13	10
12	как мы	8	10
13	мы уже	4	10
14	в то	9	10
15	не только	14	10
16	вовсе не	37	9
17	в конце	5	9
18	но и	10	9
19	все эти	7	9
20	и с	9	9
21	его в	3	9
22	прежде всего	3	8
23	в его	9	8
24	и его	5	8
25	как бы	9	8
26	мы видели	2	7
27	еще и	7	7
28	так же	5	7
29	в том	21	7
30	так как	9	7
31	из них	2	6
32	здесь в	3	6
33	поэтому и	2	5
34	что это	3	5
35	все они	2	5
36	это не	9	5
37	это и	7	5
38	того же	2	5
39	и о	5	5
40	в нем	9	5
41	в своей	5	5
42	и до	2	5
43	и по	2	5
44	сказать что	16	5
45	он и	2	5
46	перед нами	8	4
47	в нашем	5	4
48	что он	9	4
49	но это	8	4
50	по своему	2	4
51	есть и	2	4
52	еще не	5	4
53	и есть	5	4
54	конце концов	3	4
55	то что	23	4
56	жизни и	6	4
57	все это	5	4
58	на самом	7	4
59	с другой	7	4
60	жизнь и	2	4
61	также и	16	4
62	в результате	2	4
63	тем что	4	4
64	точки зрения	5	4
65	в которой	2	4
66	всех этих	2	3
67	в частности	2	3
68	в качестве	3	3
69	в своем	5	3
70	с ее	2	3
71	вот это	2	3
72	и здесь	5	3
73	что у	3	3
74	в ее	4	3
75	все же	6	3
76	но как	4	3
77	том что	12	3
78	и как	3	3
79	то в	3	3
80	имеется в	4	3
81	что здесь	5	3
82	мы можем	6	3
83	и сам	5	3
84	того что	8	3
85	здесь и	3	3
86	он не	8	3
87	здесь не	8	3
88	образом и	2	3
89	другой стороны	5	3
90	за счет	2	3
91	в известной	2	3
92	при этом	4	3
93	у них	2	3
94	и за	2	3
95	и даже	14	3
96	и вполне	5	3
97	в ней	5	3
98	же и	4	3
99	в себе	8	3
100	в чем	4	3
101	уже в	3	2
102	связи с	8	2
103	время и	2	2
104	и другие	3	2
105	в этих	2	2
106	формы и	3	2
107	другими словами	6	2
108	это в	2	2
109	а как	2	2
110	к тому	3	2
111	и к	6	2
112	на первый	4	2
113	подобного рода	3	2
114	о его	2	2
115	но только	6	2
116	ни в	8	2
117	да и	5	2
118	из этого	3	2
119	самом же	4	2
120	что они	5	2
121	есть в	3	2
122	именно в	2	2
123	но не	3	2
124	этих образов	2	2
125	то время	4	2
126	кроме того	3	2
127	не может	7	2
128	о чем	2	2
129	же деле	4	2
130	может быть	28	2
131	между прочим	2	2
132	но оно	3	2
133	это значение	2	2
134	хотя и	5	2
135	никогда не	6	2
136	уже не	7	2
137	а также	4	2
138	в виду	10	2
139	в котором	2	2
140	дает нам	2	2
141	на котором	2	2
142	и для	2	2
143	себя в	2	2
144	ни с	4	2
145	как в	5	2
146	в их	2	2
147	как раз	8	2
148	с одной	2	2
149	в той	3	2
150	всякого рода	4	2
151	и у	2	2
152	с точки	2	2
153	не столько	2	2
154	друг друга	2	2
155	как на	2	2
156	в слове	2	2
157	или в	4	2
158	и то	14	2
159	то он	2	2
160	и при	2	2
161	в основе	2	2
162	это же	3	2
163	даже и	16	2
164	образов и	3	2
165	как будто	3	2
166	только в	19	2
167	о том	6	2
168	если же	3	2
169	и это	9	2
170	дело в	4	2
171	нет ничего	6	2
172	здесь только	7	2
173	с ним	7	2
174	же не	2	2
