N	2gram	Bakhtin_Fr_5	Myshleni
1	с помощью	3	42
2	и в	45	25
3	в том	10	23
4	том что	7	20
5	что в	12	17
6	так же	8	17
7	таким образом	8	17
8	в основе	4	16
9	с тем	2	16
10	как и	10	15
11	то что	2	15
12	в его	13	15
13	в этом	14	14
14	вместе с	3	14
15	может быть	2	13
16	в целом	2	13
17	так как	6	12
18	в качестве	2	12
19	по своему	4	11
20	перед нами	4	10
21	как бы	12	10
22	и не	15	10
23	и что	2	10
24	того что	3	10
25	было бы	2	10
26	что и	7	10
27	только в	4	10
28	связи с	6	9
29	как в	3	9
30	мы не	4	9
31	ни в	3	9
32	того чтобы	6	8
33	как мы	8	8
34	все эти	5	7
35	как это	4	7
36	для того	6	7
37	мы можем	2	7
38	не менее	3	6
39	не в	7	6
40	же как	4	6
41	и у	5	6
42	один из	2	6
43	мы видели	7	6
44	не может	5	6
45	в связи	5	6
46	и на	5	6
47	потому что	7	6
48	от этого	2	6
49	что он	6	6
50	в отношении	2	6
51	но не	4	6
52	того же	3	6
53	со всеми	5	6
54	не только	14	6
55	все же	2	6
56	благодаря этому	2	6
57	в отличие	2	6
58	точки зрения	4	6
59	все это	7	6
60	можно было	4	6
61	слова и	2	6
62	отличие от	2	6
63	так и	6	5
64	именно в	3	5
65	что это	2	5
66	и как	5	5
67	но это	5	5
68	для него	3	5
69	при этом	2	5
70	друг с	2	5
71	одним из	5	5
72	что она	3	5
73	уже говорили	2	5
74	с ее	5	5
75	мы уже	4	5
76	и к	5	5
77	о том	4	5
78	в этой	6	5
79	и т.д	2	5
80	с другом	2	5
81	не могут	2	4
82	независимо от	2	4
83	в своем	11	4
84	из этих	3	4
85	прежде всего	10	4
86	к тому	2	4
87	не мог	4	4
88	в ряде	2	4
89	но и	10	4
90	от того	3	4
91	не столько	2	4
92	а в	4	4
93	сказать что	4	4
94	в то	11	4
95	с ним	5	4
96	которая не	2	4
97	с этим	4	4
98	и все	7	4
99	то время	3	4
100	мы говорили	2	4
101	он не	6	4
102	той же	4	4
103	и это	4	4
104	там где	3	4
105	но на	3	3
106	их с	2	3
107	в себя	5	3
108	связаны с	4	3
109	на этом	5	3
110	когда в	2	3
111	в самом	4	3
112	если в	2	3
113	и их	5	3
114	на том	2	3
115	в которых	3	3
116	этом отношении	5	3
117	между тем	2	3
118	его в	5	3
119	как он	3	3
120	к этому	2	3
121	мы видим	5	3
122	связь с	3	3
123	им в	2	3
124	когда он	2	3
125	если мы	2	3
126	и слово	2	3
127	то же	11	2
128	все они	4	2
129	и одновременно	3	2
130	эти последние	2	2
131	и от	4	2
132	как они	3	2
133	хотя и	5	2
134	в нем	10	2
135	в свете	2	2
136	и только	2	2
137	как на	4	2
138	от всех	5	2
139	и здесь	4	2
140	в начале	2	2
141	совершенно так	2	2
142	зрения на	4	2
143	бы в	4	2
144	но они	3	2
145	с его	7	2
146	всех этих	6	2
147	вступают в	2	2
148	в них	6	2
149	на котором	2	2
150	и во	4	2
151	в одном	3	2
152	говорит и	2	2
153	связанные с	3	2
154	конечно в	2	2
155	об этом	4	2
156	этот момент	3	2
157	очень часто	4	2
158	есть и	5	2
159	а также	4	2
160	еще в	2	2
161	которой можно	2	2
162	в своей	3	2
163	становится возможным	2	2
164	в течение	3	2
165	на этот	3	2
166	и для	3	2
167	и его	13	2
168	говорили что	2	2
169	часто в	3	2
170	внутреннее противоречие	2	2
171	в чем	2	2
172	в эту	2	2
