N	2gram	Bakhtin_KF_1	DiskursI
1	в себе	21	19
2	при этом	4	17
3	в качестве	2	16
4	и в	24	16
5	может быть	45	16
6	как и	5	16
7	в этом	14	16
8	и не	26	15
9	а не	17	14
10	в мире	6	11
11	но и	9	11
12	но в	5	11
13	том что	4	10
14	не только	5	10
15	со стороны	7	10
16	так и	2	9
17	не может	27	9
18	в том	6	8
19	как в	2	8
20	не менее	3	7
21	прежде всего	2	7
22	в нем	28	7
23	ни в	12	7
24	но не	12	7
25	в данном	2	7
26	отнюдь не	6	6
27	себя в	8	6
28	еще не	4	6
29	все же	5	6
30	в своей	10	6
31	то же	5	6
32	тем самым	4	6
33	в своих	3	6
34	ни к	2	5
35	а с	2	5
36	что в	4	5
37	в своем	16	5
38	же время	2	5
39	для него	8	5
40	то что	7	5
41	и на	3	5
42	в то	3	5
43	в одном	4	4
44	к этому	2	4
45	как бы	9	4
46	отношению к	22	4
47	по отношению	26	4
48	потому что	2	4
49	в основе	5	4
50	точки зрения	12	4
51	в этой	2	4
52	и то	2	4
53	о том	3	4
54	мира и	4	4
55	я и	2	4
56	жизни в	5	3
57	и может	3	3
58	могут быть	3	3
59	это не	10	3
60	и все	7	3
61	или иной	2	3
62	уже не	7	3
63	и того	2	3
64	и как	2	3
65	не в	12	3
66	соответствии с	2	3
67	в контексте	5	3
68	он не	6	3
69	той или	3	3
70	в его	40	3
71	в котором	24	3
72	жизни и	8	3
73	и ее	2	3
74	чего не	2	3
75	не было	8	3
76	все эти	10	3
77	и его	17	3
78	но это	6	3
79	всей своей	2	3
80	в другом	3	3
81	не знает	5	3
82	только в	16	3
83	жизни но	3	3
84	его в	5	3
85	мира в	6	3
86	место в	5	2
87	никогда не	5	2
88	бытия и	10	2
89	в целом	10	2
90	вследствие этого	2	2
91	момент в	7	2
92	или иного	3	2
93	к которой	2	2
94	что он	2	2
95	в соответствии	2	2
96	основе своей	2	2
97	времени и	4	2
98	должна быть	4	2
99	не нужно	2	2
100	отношение к	5	2
101	в ней	3	2
102	для себя	5	2
103	ни одно	5	2
104	что и	7	2
105	с ее	2	2
106	с точки	9	2
107	это мир	2	2
108	входит в	3	2
109	именно в	5	2
110	чем не	4	2
111	в себя	7	2
112	этом мире	2	2
113	сводится к	2	2
114	все это	10	2
115	в принципе	2	2
116	жизни как	5	2
117	и для	9	2
118	должно быть	6	2
119	а в	4	2
120	может иметь	2	2
121	не о	2	2
122	говорить о	2	2
123	отсюда и	3	2
124	и это	12	2
125	дело в	2	2
126	здесь не	3	2
127	но здесь	3	2
128	в области	2	2
129	мы имеем	5	2
130	между тем	4	2
