N	2gram	Trubetskoy_1	Analitik
1	не только	9	22
2	тогда как	2	20
3	и в	14	18
4	как и	4	14
5	в этом	17	14
6	но и	10	13
7	в частности	2	12
8	том что	9	12
9	в качестве	3	12
10	и не	19	12
11	при этом	5	11
12	а в	5	10
13	как бы	4	10
14	может быть	9	9
15	со стороны	4	9
16	что в	4	9
17	а не	2	9
18	в том	17	9
19	и даже	2	8
20	но не	4	7
21	в его	4	7
22	по отношению	2	7
23	к тому	7	6
24	не в	4	6
25	в начале	2	6
26	для него	6	6
27	еще не	3	6
28	в этой	4	6
29	он не	5	6
30	в их	4	6
31	о том	7	6
32	никогда не	5	5
33	в конце	3	5
34	прежде всего	8	5
35	или иной	5	5
36	в самом	3	5
37	что и	3	5
38	в мире	4	5
39	лишь в	3	5
40	уже не	2	5
41	в результате	2	5
42	между тем	5	5
43	отнюдь не	7	4
44	в своем	6	4
45	состоит в	2	4
46	по себе	2	4
47	что он	6	4
48	и к	6	4
49	и как	3	4
50	себя в	4	4
51	не есть	3	4
52	все же	4	4
53	приводит к	4	4
54	таким образом	11	4
55	тем самым	2	4
56	и на	5	4
57	в данном	7	4
58	были бы	2	3
59	из этих	3	3
60	что они	3	3
61	было бы	5	3
62	же время	10	3
63	указывает на	2	3
64	той или	3	3
65	если в	6	3
66	не будет	7	3
67	данном случае	3	3
68	все это	6	3
69	то же	11	3
70	не было	3	3
71	именно в	3	3
72	путь к	4	3
73	с этим	2	3
74	точки зрения	11	3
75	говорить о	3	3
76	во всем	4	3
77	в то	10	3
78	по воле	2	3
79	его в	4	3
80	сама по	2	2
81	для всех	6	2
82	все эти	2	2
83	все они	3	2
84	и от	2	2
85	с нею	3	2
86	совершенно очевидно	2	2
87	в нем	5	2
88	несмотря на	3	2
89	о которых	3	2
90	не должен	2	2
91	да и	3	2
92	то в	3	2
93	с самим	2	2
94	одна из	3	2
95	с тем	6	2
96	в большинстве	3	2
97	совершенно не	2	2
98	видеть в	2	2
99	в ней	2	2
100	и потому	3	2
101	всяком случае	6	2
102	только к	3	2
103	то что	13	2
104	во всех	5	2
105	вместе с	4	2
106	не может	22	2
107	отношения к	2	2
108	и вот	2	2
109	сводится к	3	2
110	самом деле	7	2
111	в значительной	3	2
112	с точки	9	2
113	и по	3	2
114	и для	6	2
115	от своей	2	2
116	в глазах	2	2
117	во всяком	9	2
118	мы можем	2	2
119	тем что	3	2
120	на себя	2	2
121	в себе	9	2
122	только в	5	2
123	на эту	2	2
124	и т.д	4	2
125	в борьбе	2	2
126	но в	2	2
127	любви к	2	2
