N	2gram	Vygotskiy__2	Poddanst
1	не только	12	17
2	и в	32	14
3	и не	10	12
4	в отношении	3	10
5	в этом	13	10
6	то же	13	9
7	в том	37	9
8	но в	3	9
9	хотя бы	3	8
10	же время	2	7
11	в то	5	7
12	только в	7	7
13	но и	10	6
14	в ней	5	6
15	в смысле	3	6
16	было бы	11	6
17	с другой	3	5
18	а я	2	5
19	не в	8	5
20	в которых	3	5
21	отношении к	3	5
22	может быть	18	5
23	то что	21	4
24	что в	20	4
25	если бы	6	4
26	не может	17	4
27	по себе	12	4
28	и к	3	4
29	а в	4	4
30	том что	21	4
31	мы должны	3	4
32	как бы	6	4
33	сами по	3	3
34	в нем	4	3
35	и т	10	3
36	с тем	11	3
37	и без	2	3
38	столь же	4	3
39	это не	2	3
40	заключается в	12	3
41	для того	13	3
42	с точки	10	3
43	сводится к	2	3
44	мы не	3	3
45	и как	7	3
46	между тем	4	3
47	но не	2	3
48	могут быть	4	3
49	точки зрения	17	3
50	в себе	2	3
51	тот же	6	3
52	наряду с	4	3
53	вслед за	5	3
54	потому что	21	3
55	творчества и	3	2
56	не менее	8	2
57	признание что	2	2
58	и тем	4	2
59	начала и	2	2
60	не к	3	2
61	во всех	3	2
62	в частности	3	2
63	отнюдь не	5	2
64	тем более	2	2
65	заключает в	2	2
66	в них	2	2
67	есть нечто	2	2
68	все это	5	2
69	как раз	5	2
70	с этим	4	2
71	в жизни	4	2
72	главным образом	3	2
73	еще более	3	2
74	думать что	3	2
75	и других	3	2
76	и вот	3	2
77	а не	7	2
78	того что	8	2
79	для нас	2	2
80	в ее	2	2
81	как на	5	2
82	если в	2	2
83	есть не	4	2
84	в русском	2	2
85	по сравнению	2	2
86	ней не	2	2
87	не было	2	2
88	из них	4	2
89	в общем	3	2
90	и мы	6	2
91	например в	3	2
92	и это	4	2
93	никак не	4	2
94	в его	2	2
95	и с	4	2
