N	3gram	Losev_Prob_1	Myslijsy
1	в том что	5	13
2	не может быть	2	9
3	и в этом	2	6
4	тем не менее	18	6
5	с другой стороны	3	5
6	и т д	10	4
7	в этом смысле	6	4
8	с точки зрения	3	3
9	в то же	4	3
10	сама по себе	4	3
11	и как бы	2	3
12	с тем что	2	3
13	подобно тому как	2	3
14	и что в	2	3
15	и того же	2	2
16	по крайней мере	2	2
17	дело в том	3	2
18	в таком случае	6	2
19	одного и того	2	2
20	что иное как	2	2
21	то и другое	2	2
22	только потому что	2	2
23	не что иное	2	2
24	не только не	3	2
25	для того чтобы	8	2
