N	2gram	Tiupa_Hudo_2	slovoVRo
1	и в	28	41
2	в нем	3	30
3	и т	4	28
4	т п	2	23
5	но и	9	16
6	и не	18	16
7	точки зрения	2	16
8	не только	11	16
9	а не	14	15
10	то же	6	14
11	может быть	8	14
12	не может	4	14
13	и его	5	14
14	и на	3	14
15	в то	6	14
16	в его	11	13
17	же время	4	12
18	как бы	5	12
19	в этом	13	12
20	так и	8	11
21	или иной	2	9
22	себя в	8	9
23	прежде всего	3	8
24	но в	2	8
25	как в	5	8
26	как мы	2	8
27	с точки	2	8
28	или в	3	8
29	все они	3	7
30	не в	13	7
31	отношение к	2	7
32	зрения на	2	7
33	с ним	7	7
34	на фоне	3	7
35	вовсе не	2	7
36	в своей	6	7
37	все же	2	7
38	это не	6	6
39	при этом	11	6
40	а в	6	6
41	в них	3	6
42	к чужому	3	6
43	оно не	2	6
44	только в	4	6
45	с другой	3	5
46	со своим	3	5
47	в самом	5	5
48	все это	3	5
49	т д	2	5
50	в основе	2	5
51	и к	2	5
52	к нему	3	5
53	с другими	3	5
54	перед нами	11	4
55	и от	2	4
56	одной стороны	3	4
57	в ней	3	4
58	один из	2	4
59	с ее	5	4
60	с одной	3	4
61	лишь в	2	4
62	рядом с	5	4
63	и с	6	4
64	и все	7	4
65	с его	5	4
66	не как	2	4
67	ли он	2	4
68	как и	11	4
69	еще не	3	4
70	но именно	2	4
71	по преимуществу	3	4
72	о нем	2	4
73	и для	2	4
74	автора и	2	4
75	ничего не	5	4
76	все его	3	4
77	как только	3	3
78	все время	3	3
79	никогда не	5	3
80	хотя бы	2	3
81	из этих	2	3
82	к тому	7	3
83	в том	15	3
84	и сам	5	3
85	для него	5	3
86	из них	2	3
87	его и	2	3
88	данном случае	2	3
89	в своем	5	3
90	именно в	2	3
91	в других	4	3
92	с ними	3	3
93	не было	6	3
94	о том	12	3
95	его в	2	3
96	в первом	2	3
97	у него	5	3
98	в себе	9	3
99	в качестве	4	3
100	она не	5	3
101	было бы	3	3
102	одной из	3	3
103	он не	4	3
104	бы и	4	3
105	в данном	2	3
106	и ее	3	3
107	же как	2	2
108	в частности	7	2
109	тому что	4	2
110	характерно что	3	2
111	столь же	3	2
112	произведения не	2	2
113	что все	3	2
114	автором и	2	2
115	можно сказать	6	2
116	для нас	3	2
117	они были	2	2
118	что они	4	2
119	на этом	2	2
120	без другого	2	2
121	для того	4	2
122	в контексте	2	2
123	между ними	2	2
124	в этих	3	2
125	между автором	2	2
126	не могла	5	2
127	уже не	10	2
128	те же	2	2
129	жизнь в	2	2
130	так же	3	2
131	сказать что	2	2
132	потому что	2	2
133	же и	2	2
134	того или	2	2
135	между тем	8	2
136	не является	2	2
137	а как	2	2
138	в котором	6	2
139	дело не	2	2
140	в одном	3	2
141	в духе	2	2
142	или иного	2	2
143	вместе со	2	2
144	том что	19	2
145	не с	2	2
146	то в	4	2
147	одна из	2	2
148	но не	4	2
149	до сих	2	2
150	мы уже	3	2
151	ни о	3	2
152	и о	4	2
153	а также	2	2
154	сих пор	2	2
155	среди других	3	2
156	в ее	18	2
157	как раз	4	2
158	а с	3	2
159	только на	5	2
160	и у	2	2
161	и эта	2	2
162	той же	2	2
163	роль в	2	2
164	можно было	3	2
165	и то	2	2
166	различия между	2	2
167	в виде	2	2
168	а между	4	2
169	в другом	2	2
170	здесь не	2	2
