N	2gram	Bakhtin_Fr_2	PoTuStor
1	может быть	5	17
2	и в	49	16
3	прежде всего	19	9
4	таким образом	7	9
5	в этом	15	9
6	мы можем	2	9
7	совершенно не	2	8
8	и его	17	8
9	и с	6	8
10	точки зрения	6	8
11	не может	7	8
12	с его	5	7
13	сказать что	6	7
14	не только	17	7
15	и это	3	6
16	и к	4	6
17	с точки	5	6
18	для него	9	6
19	при этом	5	6
20	отношение к	8	5
21	все эти	7	5
22	ни в	3	5
23	нуждается в	2	5
24	еще не	2	5
25	как бы	11	5
26	в него	2	5
27	в нем	9	4
28	но и	13	4
29	так и	6	4
30	все это	9	4
31	и все	3	4
32	так как	6	4
33	и не	15	4
34	на самом	2	4
35	как мы	7	4
36	можно сказать	2	4
37	и даже	2	4
38	и на	17	4
39	в этой	10	4
40	с ее	3	4
41	все что	2	4
42	только в	13	4
43	но в	4	4
44	в его	18	4
45	во время	12	3
46	на этой	2	3
47	и значение	2	3
48	в этих	4	3
49	по сравнению	2	3
50	что в	2	3
51	жизни и	7	3
52	во всех	6	3
53	и др	9	3
54	могут быть	2	3
55	вместе с	2	3
56	сих пор	4	3
57	сравнению с	2	3
58	отношения к	4	3
59	в одном	3	3
60	и вот	3	3
61	учение о	2	3
62	в том	3	3
63	а в	4	3
64	том что	4	3
65	с их	6	3
66	то что	6	3
67	их в	3	3
68	тех же	2	3
69	в области	4	3
70	во всяком	2	3
71	в основном	5	3
72	и потому	5	3
73	до сих	4	3
74	всяком случае	2	3
75	ее в	2	2
76	один из	7	2
77	сознания и	2	2
78	связанных с	3	2
79	другими словами	3	2
80	никогда не	5	2
81	в них	13	2
82	из этих	5	2
83	его целом	3	2
84	в жизни	4	2
85	в свое	4	2
86	то же	7	2
87	и других	3	2
88	что он	3	2
89	здесь же	2	2
90	и т.п	11	2
91	у него	2	2
92	как и	11	2
93	на основе	2	2
94	так же	2	2
95	но это	2	2
96	и образы	2	2
97	за счет	2	2
98	есть в	2	2
99	мы уже	6	2
100	образов и	3	2
101	всех других	2	2
102	в начале	5	2
103	на протяжении	7	2
104	в пределах	2	2
105	и вообще	3	2
106	было бы	3	2
107	со всеми	2	2
108	связанные с	2	2
109	о том	3	2
110	в самом	3	2
111	за пределы	2	2
112	в своей	5	2
113	только то	2	2
114	и о	4	2
115	с ним	4	2
