N	2gram	Bakhtin_Pr_2	KFilosof
1	может быть	18	43
2	в его	22	39
3	в нем	20	31
4	не может	24	27
5	и не	42	26
6	по отношению	8	25
7	и в	45	22
8	в котором	7	21
9	отношению к	8	21
10	в себе	5	21
11	для меня	2	20
12	не есть	2	19
13	в ее	3	17
14	а не	10	17
15	и его	8	17
16	только в	9	16
17	точки зрения	19	13
18	в этом	20	13
19	ни в	2	12
20	для него	9	12
21	но не	6	12
22	все эти	4	11
23	в своей	6	11
24	не в	8	11
25	к нему	11	11
26	в едином	2	10
27	в своем	5	10
28	это не	3	10
29	все это	5	10
30	во всех	4	10
31	с точки	9	10
32	в целом	5	9
33	но и	15	9
34	в их	4	9
35	как бы	15	9
36	его целом	3	9
37	и для	2	9
38	не было	2	8
39	лишь в	2	8
40	мир в	2	8
41	если бы	2	8
42	было бы	4	8
43	жизни и	15	8
44	со стороны	4	8
45	на основе	2	7
46	и здесь	2	7
47	вовсе не	7	7
48	конечно не	6	7
49	что и	5	7
50	то что	5	7
51	себя в	2	7
52	быть только	2	7
53	я не	6	6
54	в смысле	2	6
55	в том	8	6
56	но это	2	6
57	отношение к	8	6
58	в мире	3	6
59	и действительно	2	6
60	мир как	2	6
61	и их	6	6
62	он не	9	6
63	не значит	2	6
64	уже не	6	6
65	никогда не	17	5
66	хотя бы	5	5
67	то же	5	5
68	но все	4	5
69	от его	2	5
70	в контексте	2	5
71	именно в	3	5
72	не имеет	3	5
73	должно быть	4	5
74	в основе	2	5
75	но как	2	5
76	но ведь	3	5
77	его в	3	5
78	с ним	8	5
79	но в	6	5
80	не знает	4	5
81	жизни в	2	5
82	как и	14	5
83	не только	16	5
84	для себя	3	5
85	все же	4	5
86	бытия в	2	5
87	мы имеем	2	5
88	там где	6	5
89	что в	6	4
90	входит в	9	4
91	при этом	2	4
92	к ним	3	4
93	не по	3	4
94	в своих	4	4
95	с ними	4	4
96	бы быть	2	4
97	в одном	6	4
98	не как	6	4
99	быть в	2	4
100	том что	7	4
101	о нем	6	4
102	как его	2	4
103	а в	3	4
104	тем самым	2	4
105	и т.д	3	4
106	в чем	2	4
107	а лишь	3	3
108	бы и	3	3
109	должна быть	3	3
110	не менее	2	3
111	в каждом	4	3
112	до конца	7	3
113	и пр	2	3
114	этого мира	2	3
115	в виду	2	3
116	здесь нет	2	3
117	от того	2	3
118	нигде не	6	3
119	того что	3	3
120	рядом с	3	3
121	и на	7	3
122	людей и	2	3
123	в ней	7	3
124	в то	5	3
125	о том	3	3
126	сознания и	6	3
127	этом смысле	5	3
128	от него	3	3
129	еще не	9	3
130	нет и	3	3
131	в единство	3	3
132	бы не	3	3
133	самом деле	4	3
134	что не	5	3
135	тем что	2	3
136	вступает в	4	3
137	могут быть	4	3
138	в момент	3	3
139	здесь не	2	3
140	ничего не	3	3
141	слова в	4	2
142	а с	3	2
143	где она	2	2
144	истины и	3	2
145	его и	3	2
146	принципиально не	2	2
147	единство бытия	2	2
148	прежде всего	11	2
149	или иной	3	2
150	видит и	5	2
151	и как	2	2
152	же время	3	2
153	он может	2	2
154	не о	2	2
155	себя и	2	2
156	его с	2	2
157	его жизни	2	2
158	нее в	2	2
159	что значит	2	2
160	по себе	8	2
161	для этого	3	2
162	как к	2	2
163	и других	3	2
164	мысль не	3	2
165	свою жизнь	2	2
166	потому что	8	2
167	имеем в	2	2
168	он и	4	2
169	той или	3	2
170	в сознании	2	2
171	я и	3	2
172	были бы	2	2
173	а как	4	2
174	с его	8	2
175	что эта	2	2
176	в жизни	3	2
177	к этому	4	2
178	что он	7	2
179	конечно в	2	2
180	и смерти	7	2
181	герой и	3	2
182	оценки и	2	2
183	значимость и	2	2
184	тот же	2	2
185	кажется что	2	2
186	бы он	2	2
187	и потому	6	2
188	этого слова	2	2
189	в процессе	2	2
190	так и	3	2
191	как в	4	2
192	нами в	4	2
193	если не	2	2
194	и эта	3	2
195	жизнь и	3	2
196	ничего общего	2	2
197	видения и	3	2
198	не потому	2	2
199	в области	2	2
