N	2gram	Potebnia_M_4	formyVre
1	и в	23	50
2	то есть	34	33
3	в этом	23	25
4	в нем	7	24
5	в греческом	2	24
6	человека в	2	17
7	и его	2	16
8	и не	18	14
9	как мы	2	14
10	вовсе не	7	13
11	в его	5	13
12	так и	6	12
13	человека и	3	11
14	может быть	26	11
15	таким образом	24	11
16	мы уже	3	11
17	то же	14	11
18	и как	2	10
19	но в	8	10
20	в том	23	9
21	же время	3	9
22	и др	2	9
23	все эти	3	9
24	в других	2	9
25	в то	4	9
26	не только	10	9
27	в самом	3	8
28	и т	7	8
29	и их	3	8
30	но и	11	8
31	и на	3	8
32	как и	14	8
33	т п	4	8
34	не было	12	7
35	так сказать	5	7
36	это не	7	6
37	например в	3	6
38	не может	11	6
39	лишь в	3	6
40	так же	4	6
41	так как	14	6
42	с этим	7	6
43	и все	4	6
44	связи с	3	6
45	то что	29	6
46	в ее	2	6
47	как в	7	6
48	что в	17	5
49	в образе	2	5
50	не в	11	5
51	и до	3	5
52	в разных	3	5
53	точки зрения	4	5
54	если бы	13	5
55	еще не	3	5
56	он не	2	5
57	отношению к	8	5
58	того чтобы	4	5
59	для того	6	5
60	и у	2	5
61	могут быть	7	5
62	в своем	8	4
63	как человек	3	4
64	было и	2	4
65	мы и	2	4
66	кроме того	3	4
67	и следовательно	3	4
68	в котором	4	4
69	все это	5	4
70	влияние на	2	4
71	не имеет	5	4
72	потому что	33	4
73	и с	4	4
74	в ней	2	4
75	нет ничего	3	4
76	в них	3	4
77	конечно не	2	4
78	и проч	18	4
79	в процессе	3	4
80	в той	4	4
81	том что	12	4
82	и для	2	4
83	и то	5	4
84	только в	15	4
85	и это	2	4
86	не могут	2	3
87	в этих	3	3
88	к тому	3	3
89	да и	4	3
90	с тем	7	3
91	при этом	15	3
92	хотя и	5	3
93	в виду	3	3
94	один из	2	3
95	по отношению	10	3
96	именно в	3	3
97	и других	3	3
98	но эта	2	3
99	друг друга	2	3
100	а в	5	3
101	их в	3	3
102	сказать что	8	3
103	его в	4	3
104	в одном	4	3
105	ни к	2	3
106	а как	2	3
107	значение и	2	3
108	есть не	4	3
109	в сущности	2	3
110	и потому	10	3
111	что и	7	3
112	вместе с	6	3
113	сих пор	4	3
114	только на	4	3
115	еще более	2	3
116	а не	12	3
117	что не	6	3
118	между ними	4	3
119	мы не	8	3
120	мы видим	2	3
121	в таком	4	3
122	с другими	4	3
123	нас в	2	3
124	во всяком	5	3
125	в себе	14	3
126	до сих	4	3
127	уже в	5	2
128	самого начала	2	2
129	никогда не	3	2
130	в течение	2	2
131	в нашем	2	2
132	с другой	2	2
133	никто не	2	2
134	что все	4	2
135	вопрос о	2	2
136	для нас	14	2
137	происходит в	2	2
138	есть в	5	2
139	лишь один	2	2
140	в свою	2	2
141	для него	5	2
142	есть только	5	2
143	отношение к	2	2
144	природы и	2	2
145	те же	3	2
146	можно только	2	2
147	в самой	2	2
148	того что	14	2
149	и даже	2	2
150	и по	3	2
151	к ним	2	2
152	в которых	3	2
153	имеет в	2	2
154	в более	2	2
155	в истории	4	2
156	что мы	10	2
157	мы должны	2	2
158	с ним	5	2
159	из нее	2	2
160	не как	2	2
161	же что	2	2
162	тогда когда	8	2
163	по себе	11	2
164	в различных	2	2
165	и к	6	2
166	об этом	2	2
167	чем в	2	2
168	равно как	2	2
169	не были	2	2
170	и может	4	2
171	было бы	8	2
172	в это	2	2
173	этот образ	2	2
174	том же	2	2
175	к ней	2	2
176	оно не	2	2
177	как бы	5	2
178	быть и	2	2
179	даже не	2	2
180	и прежде	2	2
181	связь между	3	2
182	если мы	2	2
183	уже не	3	2
184	а мы	3	2
185	с точки	3	2
186	хотя бы	4	2
187	в которой	6	2
188	той же	3	2
189	в данном	4	2
190	как она	2	2
191	тем что	10	2
192	можно назвать	2	2
193	в каком	4	2
194	и вообще	2	2
195	ту же	3	2
196	как оно	2	2
197	слова и	5	2
198	там где	3	2
