N	2gram	Tiupa_Teor_1	VrazhdaK
1	не только	16	9
2	в этом	8	8
3	и что	3	8
4	и в	18	8
5	но и	9	7
6	что в	9	7
7	то что	3	7
8	в нем	4	6
9	– это	18	6
10	и даже	2	6
11	в романе	3	6
12	как и	4	6
13	но в	9	6
14	то же	7	5
15	и не	13	5
16	об этом	2	5
17	между тем	5	5
18	в то	6	5
19	же время	5	5
20	как бы	5	4
21	все это	2	4
22	это не	2	4
23	так же	2	4
24	может быть	17	4
25	при этом	12	4
26	в виду	5	4
27	я не	2	3
28	с его	5	3
29	русской литературе	2	3
30	в своем	4	3
31	о себе	2	3
32	в конце	2	3
33	в том	16	3
34	и его	8	3
35	том что	9	3
36	и как	2	3
37	в его	6	3
38	далеко не	2	3
39	в русской	6	3
40	его в	2	3
41	но он	3	3
42	и о	4	3
43	одним из	2	3
44	он не	3	3
45	и т.п	4	2
46	место в	5	2
47	а с	3	2
48	в своей	6	2
49	и а	4	2
50	и это	2	2
51	не менее	4	2
52	никогда не	4	2
53	вместе с	2	2
54	отнюдь не	3	2
55	в них	2	2
56	человека с	2	2
57	столь же	2	2
58	как раз	2	2
59	так в	4	2
60	не может	4	2
61	а в	13	2
62	тогда как	15	2
63	отношения к	2	2
64	таким образом	3	2
65	в той	2	2
66	уже не	4	2
67	в повести	2	2
68	с точки	3	2
69	на основе	2	2
70	в этой	3	2
71	и то	2	2
72	их в	3	2
73	в момент	2	2
74	точки зрения	9	2
75	в свою	3	2
76	и ее	3	2
77	в себе	9	2
78	отношение к	5	2
79	для него	2	2
80	еще не	4	2
81	в мире	19	2
82	а также	6	2
