N	2gram	Medvedev_V_1	slovoVRo
1	и в	26	41
2	в нем	6	30
3	и т	23	28
4	т п	9	23
5	в романе	4	21
6	могут быть	5	19
7	во всех	6	17
8	но и	10	16
9	и не	19	16
10	точки зрения	3	16
11	не только	25	16
12	а не	7	15
13	то же	10	14
14	в пределах	5	14
15	может быть	22	14
16	и др	9	14
17	не может	17	14
18	и его	6	14
19	в то	6	14
20	в его	14	13
21	же время	5	12
22	как бы	5	12
23	в этом	26	12
24	так и	5	11
25	или иной	2	9
26	таким образом	31	9
27	все эти	6	9
28	может не	2	8
29	прежде всего	13	8
30	в особенности	2	8
31	но в	2	8
32	или в	3	8
33	все они	2	7
34	не в	6	7
35	у тургенева	3	7
36	вовсе не	3	7
37	всех его	2	7
38	в своей	4	7
39	все же	5	7
40	в слове	3	7
41	это не	7	6
42	и даже	2	6
43	а в	3	6
44	в плане	5	6
45	в них	4	6
46	только в	7	6
47	с другой	11	5
48	и мир	3	5
49	со своим	2	5
50	в самом	4	5
51	и непосредственно	2	5
52	все это	10	5
53	т д	14	5
54	и к	3	5
55	с другими	2	5
56	далеко не	2	5
57	так сказать	2	5
58	перед нами	4	4
59	и от	3	4
60	или меньшей	3	4
61	в каждом	2	4
62	большей или	3	4
63	одной стороны	2	4
64	меньшей степени	2	4
65	одним из	5	4
66	в ней	2	4
67	один из	5	4
68	в их	5	4
69	с одной	2	4
70	лишь в	2	4
71	и наконец	2	4
72	и формы	2	4
73	в которой	2	4
74	единого и	2	4
75	с его	3	4
76	всех этих	2	4
77	как и	7	4
78	еще не	2	4
79	том же	6	4
80	и потому	2	4
81	в процессе	16	4
82	другой стороны	8	4
83	и для	2	4
84	ту же	2	4
85	все его	2	4
86	не могут	7	3
87	никогда не	4	3
88	хотя бы	19	3
89	формы и	2	3
90	из этих	7	3
91	к тому	4	3
92	в том	15	3
93	более или	6	3
94	для него	8	3
95	в большей	2	3
96	в зависимости	6	3
97	из них	9	3
98	в своем	8	3
99	именно в	2	3
100	того что	3	3
101	с ними	4	3
102	также и	2	3
103	в результате	5	3
104	образом в	3	3
105	не было	7	3
106	от его	2	3
107	о том	10	3
108	его в	3	3
109	которая не	2	3
110	произведения как	5	3
111	у него	6	3
112	с этим	3	3
113	в себе	6	3
114	по существу	3	3
115	зависимости от	5	3
116	в качестве	11	3
117	она не	3	3
118	и может	2	3
119	было бы	7	3
120	он не	2	3
121	в основном	5	3
122	бы и	6	3
123	при всем	3	3
124	или менее	6	3
125	и ее	4	3
126	которые в	2	3
127	связана с	2	2
128	же как	2	2
129	в частности	11	2
130	всего произведения	4	2
131	тому что	6	2
132	произведения не	2	2
133	что все	3	2
134	можно сказать	4	2
135	что они	3	2
136	такое понимание	2	2
137	смысле слова	2	2
138	например в	3	2
139	на язык	2	2
140	для того	3	2
141	хотя и	2	2
142	между ними	3	2
143	и по	3	2
144	в целом	4	2
145	у них	2	2
146	произведения и	7	2
147	должно быть	2	2
148	так же	3	2
149	сказать что	5	2
150	же и	2	2
151	включен в	2	2
152	того или	2	2
153	могут не	2	2
154	между тем	5	2
155	не является	5	2
156	в сознании	4	2
157	а как	2	2
158	в котором	3	2
159	вне его	2	2
160	он может	2	2
161	в одном	4	2
162	к этому	9	2
163	из своих	2	2
164	остановимся на	2	2
165	у нас	2	2
166	том что	8	2
167	одна из	4	2
168	но не	2	2
169	даже в	5	2
170	в ее	4	2
171	как раз	3	2
172	в самых	2	2
173	и у	2	2
174	роль в	4	2
175	можно было	2	2
176	в другом	2	2
177	связи с	4	2
178	этого типа	3	2
