N	2gram	Tiupa_Disk_2	Istorich
1	и в	16	24
2	что он	2	21
3	не только	10	21
4	может быть	16	14
5	не может	9	14
6	в этих	3	13
7	что в	5	13
8	мы имеем	2	12
9	как в	8	12
10	в этом	16	12
11	но и	11	11
12	это не	3	10
13	том что	10	10
14	а в	2	10
15	с другой	5	9
16	не в	3	9
17	все же	6	9
18	о том	4	9
19	потому что	4	9
20	еще не	6	8
21	что и	2	8
22	все это	2	8
23	другой стороны	2	8
24	то же	6	8
25	а не	14	8
26	в том	8	7
27	в первую	2	7
28	то что	5	7
29	вместе с	2	7
30	как и	16	6
31	но не	7	6
32	в нем	7	6
33	он не	3	6
34	и все	3	6
35	только в	3	6
36	не менее	7	5
37	одной стороны	4	5
38	отношение к	2	5
39	так и	9	5
40	с одной	4	5
41	в русской	3	5
42	но в	11	5
43	никогда не	2	4
44	представляет собой	11	4
45	при этом	17	4
46	своего рода	10	4
47	со своим	2	4
48	же как	2	4
49	как бы	4	4
50	и не	15	4
51	первый взгляд	2	4
52	точки зрения	4	4
53	в данном	7	4
54	на первый	2	4
55	с его	6	3
56	не столько	3	3
57	в качестве	16	3
58	в них	3	3
59	например в	3	3
60	его в	3	3
61	с ней	2	3
62	данном случае	6	3
63	где герой	3	3
64	и наконец	3	3
65	и его	3	3
66	но это	3	3
67	из этих	3	3
68	тогда как	11	3
69	перед нами	3	2
70	того же	2	2
71	но здесь	2	2
72	к этому	4	2
73	прежде всего	7	2
74	к которой	2	2
75	стороны и	2	2
76	и ее	3	2
77	в то	5	2
78	ни в	7	2
79	восходит к	3	2
80	в котором	3	2
81	а потом	2	2
82	со стороны	10	2
83	здесь не	2	2
84	уже не	3	2
85	там же	2	2
86	рассказ о	2	2
87	в основе	4	2
88	из них	3	2
89	и на	5	2
90	все эти	3	2
91	и это	2	2
92	но при	2	2
