N	2gram	Propp_Isto_1	VeschiIm
1	не есть	2	49
2	т е	10	42
3	не может	15	33
4	не только	12	31
5	может быть	25	29
6	и не	9	28
7	и в	28	26
8	то что	9	24
9	и т	25	21
10	т д	22	20
11	а не	15	20
12	не просто	3	18
13	есть только	3	17
14	что она	5	14
15	только в	11	14
16	и что	10	13
17	того что	4	13
18	по себе	3	13
19	что это	8	12
20	было бы	7	12
21	но и	10	12
22	сказать что	5	12
23	все же	10	12
24	что же	3	11
25	таким образом	8	11
26	то же	12	10
27	уже не	3	10
28	в ней	7	10
29	как бы	2	10
30	потому что	4	10
31	что мы	7	10
32	что такое	2	10
33	в том	9	9
34	бы то	2	9
35	и с	4	9
36	ни было	2	9
37	прежде всего	10	9
38	то ни	2	9
39	что не	2	9
40	еще и	2	9
41	на то	4	8
42	но это	4	8
43	в себе	2	8
44	ничего не	2	8
45	в свете	2	7
46	также и	3	7
47	в то	3	7
48	его в	6	7
49	так как	6	7
50	том что	7	7
51	указывает на	2	7
52	себя в	2	7
53	и их	3	7
54	как раз	2	7
55	и пр	4	7
56	в этом	8	7
57	так что	4	6
58	и как	2	6
59	что они	5	6
60	что в	12	6
61	для него	2	6
62	но если	2	6
63	со стороны	2	6
64	и только	2	6
65	должно быть	2	6
66	когда мы	2	6
67	но в	8	6
68	ясно что	2	6
69	относится к	2	6
70	если мы	3	6
71	с ним	2	6
72	можно было	5	6
73	не менее	6	5
74	должна быть	5	5
75	это не	7	5
76	тем не	6	5
77	не в	9	5
78	еще не	7	5
79	для этого	3	5
80	должны быть	4	5
81	а в	7	5
82	с тем	4	5
83	если бы	8	5
84	в ее	2	5
85	одна из	2	5
86	но не	5	5
87	другими словами	4	5
88	и для	4	5
89	я не	3	4
90	в своем	5	4
91	с другой	6	4
92	и мы	2	4
93	точка зрения	2	4
94	из них	3	4
95	в их	3	4
96	то и	2	4
97	и даже	4	4
98	с этим	4	4
99	как таковая	2	4
100	о том	9	4
101	не существует	2	4
102	то это	3	4
103	как и	4	4
104	так чтобы	2	4
105	во всех	2	4
106	и потому	2	4
107	однако не	2	4
108	должен быть	3	4
109	что и	6	4
110	даже не	2	4
111	этот вопрос	7	4
112	между ними	2	4
113	мы не	10	4
114	тем что	3	4
115	же не	3	4
116	и другое	2	3
117	никогда не	14	3
118	вопрос о	5	3
119	есть еще	2	3
120	не содержит	2	3
121	к тому	6	3
122	эти две	2	3
123	более или	5	3
124	на этом	3	3
125	как о	2	3
126	в нем	2	3
127	все это	4	3
128	отношения к	2	3
129	что нужно	2	3
130	их в	5	3
131	мы имеем	13	3
132	тогда когда	2	3
133	нисколько не	2	3
134	на это	2	3
135	само по	2	3
136	в одном	5	3
137	один из	4	3
138	что он	10	3
139	мы видим	11	3
140	тот же	2	3
141	по смыслу	2	3
142	вместе с	6	3
143	так и	9	3
144	или менее	5	3
145	и тогда	3	3
146	а с	2	3
147	бы в	2	3
148	хотя бы	4	3
149	не то	4	3
150	как оно	2	3
151	в основе	4	3
152	на вопрос	2	2
153	мы будем	5	2
154	в частности	2	2
155	его и	2	2
156	была бы	2	2
157	а только	2	2
158	но все	4	2
159	и если	2	2
160	у меня	3	2
161	и тем	2	2
162	и вот	2	2
163	так же	7	2
164	как это	3	2
165	оно может	2	2
166	однако это	3	2
167	на него	4	2
168	ни к	2	2
169	но они	2	2
170	от этого	2	2
171	мы получим	2	2
172	именно так	2	2
173	превращается в	4	2
174	не с	3	2
175	и эти	3	2
176	а затем	2	2
177	это тоже	6	2
178	в силу	5	2
179	в качестве	5	2
180	наряду с	3	2
181	это так	4	2
182	но оно	4	2
183	об этом	4	2
184	он не	2	2
185	и когда	2	2
186	но уже	2	2
187	когда он	6	2
188	нечто целое	2	2
189	как в	2	2
190	находится в	4	2
191	приводит к	2	2
192	как мы	3	2
193	это для	2	2
194	к чему	3	2
195	и его	3	2
196	к делу	2	2
197	дело в	3	2
198	другой вопрос	2	2
199	в особенности	2	2
200	не все	4	2
201	том как	2	2
202	это было	2	2
