N	2gram	Tiupa_Anal_2	Komedia
1	и в	16	22
2	и не	12	21
3	т е	2	16
4	том что	12	13
5	в том	12	12
6	таким образом	2	12
7	со стороны	3	11
8	в самом	6	9
9	вместе с	2	9
10	если бы	3	8
11	в своем	4	8
12	в его	2	8
13	что и	3	8
14	в этом	18	8
15	о том	7	8
16	его в	2	8
17	о чем	2	7
18	при этом	10	7
19	то же	4	7
20	едва ли	3	7
21	а в	3	7
22	в конце	4	7
23	к этому	2	6
24	тому же	4	6
25	того же	4	6
26	еще не	2	6
27	к тому	7	6
28	может быть	6	6
29	как раз	4	6
30	так что	3	6
31	и его	4	6
32	в то	2	6
33	не менее	4	5
34	что в	2	5
35	же время	2	5
36	прежде всего	3	5
37	как это	6	5
38	и сам	3	5
39	хотя и	4	5
40	не только	16	5
41	речь идет	2	5
42	в своей	2	5
43	из них	3	5
44	все это	4	5
45	по отношению	4	5
46	он не	2	5
47	тем что	3	5
48	с ним	2	5
49	но в	6	5
50	у него	4	4
51	отнюдь не	8	4
52	с другой	6	4
53	вовсе не	2	4
54	он был	2	4
55	не в	4	4
56	несмотря на	3	4
57	то что	7	4
58	но и	12	4
59	на него	2	4
60	что она	2	4
61	а не	10	4
62	и для	2	4
63	так же	2	4
64	точки зрения	4	4
65	на себя	5	4
66	в себе	7	4
67	бы в	3	4
68	так и	15	4
69	в частности	16	3
70	никогда не	3	3
71	одного из	3	3
72	на то	2	3
73	и к	5	3
74	не позволяет	2	3
75	тем не	3	3
76	как и	14	3
77	в этой	9	3
78	все что	2	3
79	одной стороны	4	3
80	было бы	3	3
81	на этот	2	3
82	как бы	10	3
83	один из	2	3
84	отношению к	4	3
85	в целом	8	3
86	приводит к	3	3
87	не может	4	3
88	с одной	5	3
89	в двух	2	3
90	с точки	2	3
91	столь же	4	3
92	и даже	9	3
93	не имеет	2	3
94	не так	4	3
95	одной из	3	3
96	не о	2	3
97	представляет собой	8	3
98	говорить о	6	3
99	не знает	3	3
100	ничего не	9	3
101	состоит в	8	2
102	конечном счете	2	2
103	в качестве	11	2
104	как в	4	2
105	и особенно	4	2
106	и все	3	2
107	в одном	2	2
108	и я	2	2
109	а как	2	2
110	к своему	2	2
111	о его	4	2
112	этом случае	4	2
113	его от	3	2
114	а затем	2	2
115	отличие от	2	2
116	по существу	2	2
117	из его	2	2
118	она не	2	2
119	перед лицом	2	2
120	что с	2	2
121	в пределах	9	2
122	не мог	3	2
123	и если	3	2
124	на его	3	2
125	в сущности	4	2
126	за пределы	4	2
127	при всей	3	2
128	в конечном	3	2
129	а также	7	2
130	и он	2	2
131	за пределами	2	2
132	в котором	2	2
133	представляют собой	2	2
134	не с	4	2
135	во всех	4	2
136	дело не	2	2
137	в их	3	2
138	как мы	3	2
139	другой стороны	2	2
140	отношения к	2	2
141	этом отношении	3	2
142	в мире	6	2
143	роль в	2	2
144	в таком	2	2
145	можно было	3	2
146	и на	6	2
147	ли не	2	2
148	в результате	3	2
149	между тем	2	2
150	и во	2	2
151	что касается	3	2
152	он и	2	2
153	всего лишь	8	2
