N	2gram	Vygotskiy__2	EvropaiE
1	и в	15	37
2	в отношении	6	32
3	точки зрения	26	23
4	что в	14	21
5	не только	15	18
6	с точки	18	17
7	хотя бы	4	15
8	то же	5	15
9	в своем	9	14
10	в качестве	4	14
11	но и	10	14
12	и не	7	14
13	но в	6	14
14	в этом	19	12
15	в их	2	11
16	в том	33	11
17	с и	4	10
18	так и	8	10
19	отнюдь не	2	9
20	прежде всего	4	9
21	не может	9	9
22	в себе	2	9
23	только в	4	9
24	так же	4	9
25	к тому	7	8
26	одной стороны	7	8
27	было бы	10	8
28	в своей	4	8
29	с одной	7	8
30	как и	6	7
31	того что	17	7
32	а также	2	7
33	с другой	6	7
34	также и	2	7
35	так как	4	7
36	с этой	2	6
37	вовсе не	6	6
38	том что	27	6
39	стороны и	2	6
40	может быть	9	6
41	для того	10	6
42	на то	6	6
43	как бы	7	6
44	то что	20	6
45	во всех	2	6
46	того чтобы	12	6
47	и даже	5	6
48	же как	2	5
49	в частности	6	5
50	столь же	2	5
51	не в	8	5
52	но не	3	5
53	к которым	4	5
54	одной из	3	5
55	но если	2	5
56	со стороны	3	5
57	которую мы	2	5
58	как мы	6	5
59	в течение	2	5
60	тем самым	3	5
61	и по	3	5
62	от этого	2	5
63	независимо от	4	4
64	именно в	2	4
65	вопрос о	5	4
66	или иной	2	4
67	можно сказать	2	4
68	на всем	2	4
69	чем в	2	4
70	иными словами	2	4
71	само по	2	4
72	несмотря на	4	4
73	в самом	11	4
74	к ней	2	4
75	той или	2	4
76	даже в	4	4
77	в процессе	11	4
78	по себе	7	4
79	для нас	4	4
80	мы не	10	4
81	не имеет	4	4
82	сказать что	6	4
83	тем более	3	4
84	как это	6	4
85	и к	6	3
86	можно считать	2	3
87	этом отношении	3	3
88	но на	3	3
89	уже и	2	3
90	никогда не	8	3
91	в них	4	3
92	в стороне	2	3
93	с другом	2	3
94	этом смысле	2	3
95	в общем	3	3
96	мы видели	6	3
97	из всех	2	3
98	представляет собой	2	3
99	мы можем	10	3
100	очевидно что	3	3
101	того же	3	3
102	в известном	2	3
103	не дает	2	3
104	бы ни	2	3
105	друг с	2	3
106	и мы	2	3
107	из них	3	3
108	всяком случае	6	3
109	не является	9	3
110	и тем	2	3
111	что и	2	3
112	когда он	3	3
113	ее в	2	3
114	бы и	3	3
115	как в	4	3
116	и только	3	3
117	потребность в	4	3
118	идет о	3	3
119	и для	2	3
120	можно было	5	3
121	в которых	3	3
122	в результате	3	3
123	потому что	7	3
124	во всяком	7	3
125	тем что	2	3
126	в применении	2	3
127	в данном	3	3
128	во все	2	3
129	о том	9	3
130	там где	6	3
131	мира и	2	3
132	что все	4	2
133	он сам	3	2
134	не могут	2	2
135	и более	2	2
136	относятся к	2	2
137	а не	3	2
138	в этих	2	2
139	сравнению с	5	2
140	по сравнению	5	2
141	с в	4	2
142	с этим	3	2
143	и все	3	2
144	в одном	2	2
145	и теперь	2	2
146	представление о	5	2
147	из того	4	2
148	и эта	2	2
149	что на	2	2
150	и можно	2	2
151	есть ли	2	2
152	и как	2	2
153	в силу	2	2
154	что если	2	2
155	приводит нас	2	2
156	не можем	3	2
157	вопрос не	2	2
158	во власти	3	2
159	что это	6	2
160	от друга	2	2
161	нас к	2	2
162	на язык	2	2
163	он не	7	2
164	в его	2	2
165	в котором	2	2
166	точка зрения	3	2
167	в развитии	26	2
168	при помощи	4	2
169	друг от	2	2
170	в некоторых	2	2
171	наряду с	2	2
172	вместе с	6	2
173	данном случае	3	2
174	иначе говоря	2	2
175	во всей	5	2
176	целый ряд	2	2
177	что же	2	2
178	а в	4	2
179	таким образом	14	2
180	если бы	8	2
181	и других	2	2
182	но с	2	2
183	заключается в	8	2
184	и что	8	2
185	на этот	6	2
186	тому чтобы	2	2
187	в других	2	2
188	с другими	3	2
189	на основе	7	2
190	мы видим	4	2
191	или в	3	2
192	в другой	2	2
193	этот вопрос	5	2
194	и с	4	2
195	могут быть	2	2
196	с мы	3	2
197	в этой	6	2
198	по своей	6	2
199	в истории	6	2
200	мы должны	6	2
201	заметить что	2	2
202	тогда когда	5	2
203	в эту	4	2
