N	2gram	Nazirov_Vr_1	Otkroven
1	у него	5	22
2	у достоевского	4	19
3	и в	8	19
4	но и	7	13
5	и не	5	13
6	в этом	8	12
7	из подполья	3	11
8	человека в	3	11
9	может быть	4	11
10	не только	9	11
11	и все	7	10
12	в нем	6	10
13	никогда не	2	9
14	не было	5	9
15	и он	2	8
16	он был	3	8
17	достоевского он	2	7
18	но он	3	7
19	он не	3	7
20	в его	3	7
21	все это	4	6
22	как и	6	6
23	то что	7	5
24	а в	2	5
25	достоевского и	7	5
26	отношение к	2	5
27	в том	3	5
28	для него	2	5
29	в этой	2	5
30	в россии	5	5
31	с его	3	4
32	т е	3	4
33	он сам	2	4
34	достоевского не	4	4
35	и его	3	4
36	достоевский не	3	4
37	не может	2	4
38	что в	7	4
39	достоевского в	7	3
40	это не	4	3
41	что он	4	3
42	записки из	2	3
43	в своих	4	3
44	еще не	2	3
45	достоевский был	2	3
46	и ее	2	3
47	в бесах	10	3
48	в себе	2	3
49	в русской	3	3
50	о том	4	3
51	с ним	4	3
52	как бы	4	3
53	о достоевском	2	2
54	в этот	3	2
55	уже в	4	2
56	все же	6	2
57	в истории	4	2
58	в своем	3	2
59	что у	3	2
60	россии в	2	2
61	что есть	3	2
62	к этому	3	2
63	о которой	2	2
64	в дневнике	4	2
65	достоевского к	3	2
66	том что	3	2
67	достоевского с	9	2
68	и то	2	2
69	достоевский всегда	2	2
70	и с	6	2
71	тем что	3	2
72	что достоевский	4	2
73	его в	3	2
74	в своей	2	2
75	и о	3	2
76	но в	6	2
77	к достоевскому	6	2
