N	2gram	Voloshinov_1	VeschiIm
1	не может	13	33
2	не только	5	31
3	может быть	13	29
4	это –	9	29
5	и не	16	28
6	и в	15	26
7	то что	10	24
8	и есть	2	23
9	а не	2	20
10	что она	2	14
11	только в	6	14
12	и что	3	13
13	того что	2	13
14	по себе	2	13
15	что это	3	12
16	было бы	6	12
17	но и	4	12
18	сказать что	6	12
19	все же	5	12
20	в себя	5	12
21	и то	2	12
22	и ее	3	12
23	что же	4	11
24	таким образом	21	11
25	то же	7	10
26	уже не	5	10
27	в ней	5	10
28	как бы	11	10
29	потому что	4	10
30	что мы	2	10
31	что такое	3	10
32	в том	4	9
33	в самом	6	9
34	и с	7	9
35	прежде всего	11	9
36	себя и	3	8
37	но это	2	8
38	с ее	3	8
39	в себе	4	8
40	ничего не	2	8
41	совершенно не	2	7
42	– не	7	7
43	что оно	2	7
44	в то	6	7
45	его в	8	7
46	так как	9	7
47	– в	13	7
48	том что	5	7
49	есть и	2	7
50	себя в	2	7
51	как раз	2	7
52	и пр	9	7
53	с другими	5	7
54	в этом	13	7
55	что в	6	6
56	для него	5	6
57	но если	2	6
58	жизни и	5	6
59	со стороны	2	6
60	и только	4	6
61	должно быть	2	6
62	точки зрения	13	6
63	но в	9	6
64	она не	2	6
65	бы и	2	6
66	если мы	5	6
67	с ним	12	6
68	не менее	3	5
69	ведь и	2	5
70	в отношении	2	5
71	это не	2	5
72	тем не	2	5
73	не в	4	5
74	еще не	7	5
75	и до	3	5
76	для этого	4	5
77	– как	2	5
78	должны быть	3	5
79	а в	6	5
80	чем же	5	5
81	ни на	2	5
82	если бы	3	5
83	отнюдь не	2	5
84	в свою	2	5
85	в ее	4	5
86	у нас	3	5
87	одна из	3	5
88	но не	5	5
89	другими словами	3	5
90	и для	2	5
91	себя с	3	5
92	на себя	2	5
93	в чем	4	5
94	я не	3	4
95	в своем	2	4
96	оно и	6	4
97	же время	5	4
98	только то	3	4
99	от того	3	4
100	учение об	2	4
101	и даже	2	4
102	с этим	6	4
103	не существует	3	4
104	и все	4	4
105	как и	6	4
106	во всех	8	4
107	– только	2	4
108	и о	3	4
109	и потому	8	4
110	на почве	2	4
111	оно не	2	4
112	должен быть	2	4
113	что и	2	4
114	быть и	2	4
115	оно –	3	4
116	между ними	2	4
117	с точки	10	4
118	то или	2	4
119	что значит	2	4
120	мы не	4	4
121	в данном	3	4
122	никогда не	7	3
123	в собственном	2	3
124	можно сказать	4	3
125	к тому	4	3
126	на этом	5	3
127	в нем	4	3
128	сам по	2	3
129	отношение к	7	3
130	все это	5	3
131	отношения к	2	3
132	же –	2	3
133	их в	2	3
134	реальности и	2	3
135	к себе	3	3
136	или как	3	3
137	в одном	3	3
138	в жизни	5	3
139	один из	4	3
140	что он	8	3
141	тот же	5	3
142	к ней	2	3
143	в своей	9	3
144	вместе с	4	3
145	так и	10	3
146	только на	2	3
147	из того	2	3
148	самом деле	7	3
149	бы в	2	3
150	того чтобы	2	3
151	хотя бы	7	3
152	явлений и	2	3
153	в основе	3	3
154	– с	3	2
155	его и	2	2
156	тому что	3	2
157	человека и	6	2
158	на все	2	2
159	а потому	2	2
160	ни в	6	2
161	но все	2	2
162	мы уже	5	2
163	данном случае	3	2
164	чем не	2	2
165	и вот	6	2
166	во втором	3	2
167	конечно и	3	2
168	в своих	4	2
169	в более	3	2
170	самого себя	2	2
171	в первом	2	2
172	оно может	3	2
173	мы можем	12	2
174	на него	4	2
175	о которой	2	2
176	жизни в	3	2
177	во внутреннем	2	2
178	если он	5	2
179	– и	5	2
180	на этой	2	2
181	в качестве	2	2
182	и может	4	2
183	об этом	4	2
184	он не	4	2
185	– это	15	2
186	как в	3	2
187	мысли и	4	2
188	находится в	3	2
189	приводит к	2	2
190	еще более	2	2
191	как мы	10	2
192	и его	15	2
193	той же	2	2
194	во всяком	4	2
195	выражение в	2	2
196	и таким	2	2
197	дело в	2	2
198	же такое	2	2
