N	2gram	Tiupa_Hudo_1	Narrotol
1	не только	16	26
2	а не	9	17
3	представляет собой	10	16
4	но и	10	15
5	тогда как	13	15
6	в том	18	14
7	при этом	13	14
8	в качестве	24	14
9	и не	15	14
10	том что	8	13
11	и в	19	13
12	в этом	11	13
13	состоит в	16	12
14	такого рода	10	12
15	в частности	13	11
16	только в	5	11
17	может быть	14	10
18	в данном	4	10
19	своего рода	5	9
20	к тому	4	9
21	так и	11	9
22	сводится к	7	9
23	а в	12	9
24	то есть	18	9
25	картина мира	5	8
26	то что	4	8
27	в себе	9	8
28	в тексте	9	8
29	не может	7	8
30	не в	7	8
31	коммуникативного события	2	8
32	не сводится	5	7
33	иначе говоря	4	7
34	в рамках	8	6
35	никогда не	2	6
36	в своем	2	6
37	в жизни	2	6
38	прежде всего	4	6
39	можно сказать	5	6
40	и к	3	6
41	того что	4	6
42	в его	9	6
43	и т.п	4	6
44	коммуникативное событие	2	6
45	со стороны	2	6
46	жизни в	2	6
47	как бы	9	6
48	а также	5	6
49	всего лишь	4	6
50	но в	7	6
51	место в	4	5
52	по мысли	2	5
53	точки зрения	10	5
54	не столько	3	5
55	человеческого я	3	5
56	тем не	3	5
57	что он	3	5
58	одной стороны	2	5
59	хотя и	3	5
60	он не	4	5
61	я не	2	5
62	и тем	2	5
63	в нем	5	5
64	отношению к	9	5
65	как в	2	5
66	в форме	4	5
67	по отношению	9	5
68	в отличие	7	5
69	таким образом	3	5
70	с одной	2	5
71	в той	3	5
72	тем самым	4	5
73	с другой	7	5
74	отличие от	7	5
75	в то	6	5
76	я в	11	5
77	далеко не	2	5
78	о том	2	5
79	не менее	3	4
80	если бы	3	4
81	отнюдь не	2	4
82	об этом	2	4
83	как и	2	4
84	времени и	2	4
85	что в	6	4
86	для него	4	4
87	читателя в	3	4
88	не является	4	4
89	в своей	5	4
90	в ее	5	4
91	то же	10	4
92	в какой	2	4
93	уже не	4	4
94	в мире	21	4
95	в рассказе	3	4
96	в другом	3	4
97	в этой	2	4
98	и т.д	3	4
99	как это	5	4
100	с ним	2	4
101	в себя	2	4
102	мира в	2	4
103	с его	6	3
104	поскольку не	2	3
105	конечном счете	5	3
106	по большей	2	3
107	тому что	2	3
108	мы имеем	6	3
109	или даже	3	3
110	это не	2	3
111	в итоге	2	3
112	или иного	3	3
113	большей части	2	3
114	или иной	7	3
115	и того	2	3
116	в слове	3	3
117	одна из	2	3
118	но не	11	3
119	же время	5	3
120	в аспекте	2	3
121	того или	3	3
122	к его	2	3
123	как раз	3	3
124	той или	4	3
125	в конечном	5	3
126	за пределами	3	3
127	для себя	2	3
128	один из	2	3
129	в целом	3	3
130	внутренней речи	14	3
131	между собой	2	3
132	как к	2	3
133	все эти	2	3
134	того чтобы	2	3
135	следует подчеркнуть	3	3
136	и по	2	3
137	и для	2	3
138	и его	12	3
139	самим собой	4	3
140	не следует	4	3
141	сказать что	4	3
142	между тем	4	3
143	по своей	7	3
144	как правило	2	3
145	мира и	2	3
146	в состав	6	3
147	в принципе	5	2
148	не обязательно	2	2
149	в душе	8	2
150	о чем	2	2
151	одно из	2	2
152	личности в	4	2
153	однако в	4	2
154	в нашем	2	2
155	превращается в	2	2
156	может оказаться	2	2
157	из этих	3	2
158	как уже	2	2
159	вовсе не	2	2
160	художественного письма	5	2
161	в свою	3	2
162	личности как	2	2
163	равной степени	2	2
164	для автора	2	2
165	и более	2	2
166	и адресата	2	2
167	присутствия в	8	2
168	по своему	2	2
169	имеем дело	2	2
170	еще не	3	2
171	картины мира	3	2
172	своей природе	2	2
173	со своей	3	2
174	в самом	5	2
175	может служить	2	2
176	имеет место	2	2
177	что она	2	2
178	не вполне	2	2
179	не могло	2	2
180	не все	2	2
181	что и	2	2
182	себя в	7	2
183	не будет	2	2
184	хх века	2	2
185	присутствия я	5	2
186	в культуре	3	2
187	нового времени	2	2
188	собственно говоря	2	2
189	а с	2	2
190	именно в	2	2
191	и состоит	3	2
192	внутренней заданности	4	2
193	и что	3	2
194	с точки	3	2
195	сводятся к	2	2
196	так же	2	2
197	всякий раз	2	2
198	или иначе	4	2
199	в чем	2	2
200	не случайно	3	2
201	существования в	2	2
202	но он	3	2
203	всей своей	2	2
204	говорить о	3	2
205	в равной	2	2
206	героя и	5	2
207	здесь не	2	2
208	потому что	3	2
209	в области	6	2
210	к которому	4	2
