N	2gram	Tiupa_Teor_1	Poddanst
1	не только	16	17
2	и в	18	14
3	и не	13	12
4	в области	4	11
5	в отношении	3	10
6	в этом	8	10
7	то же	7	9
8	в том	16	9
9	в качестве	24	9
10	но в	9	9
11	в пределах	5	8
12	же время	5	7
13	в то	6	7
14	только в	6	7
15	но и	9	6
16	с другой	7	5
17	не в	7	5
18	отношении к	2	5
19	о в	2	5
20	и о	4	5
21	может быть	17	5
22	то что	3	4
23	что в	9	4
24	если бы	3	4
25	в своем	4	4
26	не может	4	4
27	и к	3	4
28	а в	13	4
29	том что	9	4
30	в русской	6	4
31	а также	6	4
32	как бы	5	4
33	и потому	2	4
34	в порядке	3	3
35	в нем	4	3
36	столь же	2	3
37	это не	2	3
38	с одной	2	3
39	прежде всего	2	3
40	заключается в	2	3
41	тем самым	4	3
42	с точки	3	3
43	сводится к	5	3
44	и как	2	3
45	между тем	5	3
46	но не	9	3
47	могут быть	4	3
48	точки зрения	9	3
49	в себе	9	3
50	одной стороны	2	3
51	вслед за	2	3
52	потому что	3	3
53	хотя и	3	3
54	я и	2	3
55	не менее	4	2
56	том числе	2	2
57	и тем	3	2
58	в мире	19	2
59	именно в	3	2
60	в частности	16	2
61	отнюдь не	3	2
62	со стороны	2	2
63	в них	2	2
64	все это	2	2
65	как раз	2	2
66	отношения к	2	2
67	в жизни	2	2
68	и вот	3	2
69	а не	9	2
70	того что	4	2
71	к чему	2	2
72	в ее	5	2
73	говорить о	3	2
74	если в	2	2
75	есть в	2	2
76	и это	2	2
77	о и	2	2
78	в сочетании	2	2
79	в его	6	2
