N	2gram	Medvedev_U_1	Istorich
1	и в	14	26
2	таким образом	2	12
3	в том	2	12
4	в этом	7	12
5	может быть	6	11
6	с другой	4	10
7	том что	2	10
8	и не	8	10
9	не только	10	10
10	что он	2	9
11	но и	4	9
12	все же	3	8
13	другой стороны	3	8
14	превращается в	2	7
15	но в	3	7
16	то что	7	6
17	не может	7	6
18	и с	2	6
19	мы не	2	6
20	у нас	3	5
21	как и	3	5
22	в его	2	5
23	то же	5	5
24	тем что	2	5
25	в то	3	5
26	только в	2	5
27	это не	3	4
28	прежде всего	8	4
29	с его	2	4
30	но это	2	4
31	до сих	2	4
32	что и	2	4
33	сих пор	2	4
34	если бы	2	3
35	в частности	3	3
36	могут быть	2	3
37	должна быть	2	3
38	на первый	2	3
39	не в	2	3
40	в своей	3	3
41	что она	2	3
42	и через	2	3
43	вот почему	7	3
44	и то	3	3
45	и только	5	3
46	в себе	2	3
47	о чем	2	2
48	сводится к	2	2
49	но не	2	2
50	что мы	2	2
51	было бы	3	2
52	не есть	2	2
53	в некоторых	2	2
54	а не	10	2
55	в этой	4	2
56	и формы	3	2
57	ничего не	2	2
58	же не	2	2
