N	2gram	Tiupa_Teor_1	FransuaR
1	и в	18	29
2	то есть	12	21
3	таким образом	3	20
4	и не	13	16
5	в этой	3	13
6	как и	4	12
7	и т.п	4	12
8	но в	9	12
9	так и	10	11
10	в этом	8	11
11	то же	7	10
12	в романе	3	10
13	в то	6	10
14	не только	16	10
15	вовсе не	3	9
16	в конце	2	9
17	но и	9	9
18	все эти	2	9
19	его в	2	9
20	же время	5	8
21	прежде всего	2	8
22	в его	6	8
23	и его	8	8
24	как бы	5	8
25	в них	2	7
26	так же	2	7
27	в том	16	7
28	в большинстве	2	6
29	своего рода	7	6
30	но он	3	6
31	это не	2	5
32	того же	3	5
33	и о	4	5
34	далеко не	2	5
35	в нем	4	5
36	в своей	6	5
37	и по	2	5
38	сказать что	3	5
39	перед нами	2	4
40	с его	5	4
41	в нашем	4	4
42	в литературе	2	4
43	по своему	2	4
44	еще не	4	4
45	один из	2	4
46	то что	3	4
47	все это	2	4
48	и одновременно	4	4
49	с другой	7	4
50	точки зрения	9	4
51	в которой	2	4
52	в узком	3	3
53	том числе	2	3
54	в частности	16	3
55	в качестве	24	3
56	в своем	4	3
57	превращается в	2	3
58	с ее	3	3
59	и здесь	2	3
60	в ее	5	3
61	том что	9	3
62	и как	2	3
63	то в	2	3
64	более или	2	3
65	того что	4	3
66	по преимуществу	4	3
67	он не	3	3
68	или менее	2	3
69	этой системе	2	3
70	другой стороны	5	3
71	как к	2	3
72	при этом	12	3
73	на языке	2	3
74	и вот	3	3
75	и даже	2	3
76	роль в	2	3
77	не случайно	5	3
78	в себе	9	3
79	по своей	3	3
80	место в	5	2
81	времени и	2	2
82	и другие	2	2
83	в этих	3	2
84	жизни в	2	2
85	нового времени	3	2
86	в жизни	2	2
87	к тому	2	2
88	и к	3	2
89	одной из	2	2
90	ни в	2	2
91	соответствии с	2	2
92	есть в	2	2
93	именно в	3	2
94	но не	9	2
95	перед лицом	2	2
96	в себя	3	2
97	одной стороны	2	2
98	не может	4	2
99	о своем	2	2
100	может быть	17	2
101	хотя и	3	2
102	никогда не	4	2
103	уже не	4	2
104	а также	6	2
105	в виду	5	2
106	если в	2	2
107	со стороны	2	2
108	и для	2	2
109	себя в	6	2
110	но она	2	2
111	как в	5	2
112	в их	2	2
113	как раз	2	2
114	не на	2	2
115	с одной	2	2
116	во второй	7	2
117	в той	2	2
118	с точки	3	2
119	между ними	4	2
120	в слове	3	2
121	или в	3	2
122	и то	2	2
123	их в	3	2
124	в основе	3	2
125	как будто	2	2
126	только в	6	2
127	и это	2	2
128	дело в	2	2
129	в эпизоде	3	2
130	к которому	3	2
