N	3gram	Savitsky_E_1	Problema
1	во всяком случае	3	10
2	в этом смысле	3	5
3	в данном случае	2	5
4	с одной стороны	8	5
5	того или иного	4	5
6	с другой стороны	2	5
7	на то что	2	4
8	не говоря уже	2	4
9	только в том	2	4
10	в то же	15	4
11	в том что	6	4
12	и в частности	2	3
13	и в этом	4	3
14	одной стороны и	6	3
15	можно сказать что	3	3
16	хотя бы и	3	3
17	не может быть	2	3
18	или хотя бы	2	2
19	для того чтобы	5	2
20	друг от друга	2	2
21	бы то ни	4	2
22	не только в	4	2
23	можно было бы	3	2
24	само по себе	4	2
25	в частности в	2	2
26	и прежде всего	3	2
27	заключается в том	2	2
