N	2gram	Bakhtin_Fr_2	Formalny
1	и в	49	38
2	в этом	15	27
3	может быть	5	23
4	и его	17	21
5	таким образом	7	20
6	и не	15	20
7	в самом	3	16
8	прежде всего	19	15
9	не может	7	14
10	в нем	9	13
11	но и	13	13
12	связи с	2	13
13	в пределах	2	12
14	с его	5	11
15	в том	3	11
16	вовсе не	10	11
17	в его	18	10
18	в связи	2	10
19	и с	6	9
20	как и	11	9
21	при этом	5	9
22	не только	17	9
23	все же	7	8
24	так и	6	8
25	тем что	4	8
26	точки зрения	6	8
27	что в	2	7
28	для него	9	7
29	по существу	2	7
30	в своей	5	7
31	этом отношении	3	7
32	как мы	7	7
33	лишь в	4	7
34	с точки	5	7
35	не было	4	6
36	то что	6	6
37	в истории	6	6
38	для понимания	2	6
39	в ней	2	6
40	в этой	10	6
41	было бы	3	6
42	вместе с	2	6
43	в их	2	6
44	то же	7	6
45	все эти	7	6
46	могут быть	2	6
47	только в	13	6
48	а в	4	6
49	что он	3	5
50	именно в	6	5
51	это и	2	5
52	же время	6	5
53	по преимуществу	2	5
54	во всех	6	5
55	в то	6	5
56	во всяком	2	5
57	всяком случае	2	5
58	на фоне	2	4
59	мы видели	3	4
60	в дальнейшем	2	4
61	лишь как	2	4
62	что они	2	4
63	литературы и	2	4
64	метод в	2	4
65	совершенно не	2	4
66	в сущности	8	4
67	как бы	11	4
68	и к	4	4
69	из них	3	4
70	другой стороны	3	4
71	за счет	2	4
72	в особенности	5	4
73	и даже	2	4
74	даже и	2	4
75	там где	4	4
76	здесь не	2	4
77	ничего не	2	4
78	так как	6	4
79	но в	4	4
80	одного из	2	3
81	всех этих	3	3
82	для них	2	3
83	место в	3	3
84	и др	9	3
85	своей статье	2	3
86	с другой	4	3
87	из этих	5	3
88	но все	4	3
89	своего развития	3	3
90	но именно	3	3
91	значительной степени	2	3
92	жизни и	7	3
93	и до	4	3
94	все это	9	3
95	и прежде	2	3
96	так в	3	3
97	на самом	2	3
98	к нему	3	3
99	именно на	2	3
100	в значительной	3	3
101	того чтобы	2	3
102	менее всего	3	3
103	особенно в	2	3
104	роль в	5	3
105	и на	17	3
106	хотя и	2	3
107	как к	2	3
108	и все	3	3
109	в области	4	3
110	времени и	6	2
111	смысла и	2	2
112	уже в	5	2
113	и более	4	2
114	очень характерно	2	2
115	и другие	2	2
116	никогда не	5	2
117	в этих	4	2
118	в качестве	2	2
119	характерно что	2	2
120	в конце	2	2
121	в тех	2	2
122	и нового	3	2
123	в ее	3	2
124	до конца	2	2
125	том что	4	2
126	но это	2	2
127	но не	5	2
128	в целях	2	2
129	и о	4	2
130	от всей	2	2
131	даже в	3	2
132	он был	2	2
133	один из	7	2
134	метода в	2	2
135	отношение к	8	2
136	в понимании	2	2
137	ни в	3	2
138	ее в	2	2
139	он пишет	3	2
140	смысл и	2	2
141	в известной	4	2
142	и других	3	2
143	превращается в	3	2
144	в эпоху	13	2
145	что для	3	2
146	здесь с	2	2
147	вряд ли	2	2
148	их в	3	2
149	сказать что	6	2
150	статье о	2	2
151	в предисловии	2	2
152	на литературу	2	2
153	был и	3	2
154	эти явления	2	2
155	и это	3	2
156	в художественном	2	2
157	должен был	2	2
158	с ним	4	2
159	та же	2	2
160	в плане	3	2
161	в виду	3	2
