N	2gram	Propp_Isto_6	VerxiiNi
1	и в	26	26
2	таким образом	12	22
3	с тем	4	18
4	вместе с	8	15
5	в этом	12	15
6	как бы	4	12
7	в том	12	11
8	после смерти	2	10
9	может быть	11	10
10	не только	10	10
11	и с	6	10
12	из этих	4	10
13	что в	12	9
14	но и	9	9
15	так как	18	9
16	с другой	10	8
17	главным образом	3	8
18	но не	2	8
19	в индии	3	8
20	и не	10	8
21	как на	3	8
22	том что	10	7
23	но все	2	7
24	одной стороны	7	7
25	то что	6	7
26	а с	2	7
27	с одной	7	7
28	потому что	13	7
29	но в	7	7
30	представление о	9	6
31	к тому	2	6
32	того же	2	6
33	всяком случае	2	6
34	что и	4	6
35	все же	8	6
36	так и	5	6
37	все эти	8	6
38	во всяком	2	6
39	в себе	3	6
40	мы должны	2	6
41	о том	7	6
42	до сих	4	5
43	в его	5	5
44	никогда не	13	5
45	сих пор	4	5
46	так же	2	5
47	а не	2	5
48	не имеет	2	5
49	в этих	2	4
50	попадает в	3	4
51	и от	3	4
52	что он	9	4
53	в нем	8	4
54	из которых	3	4
55	целый ряд	2	4
56	не может	6	4
57	и только	3	4
58	а в	3	4
59	то же	5	4
60	что оно	4	4
61	и что	5	4
62	и по	4	4
63	в которых	2	4
64	в виде	6	4
65	он не	2	4
66	в то	5	4
67	только в	5	4
68	в этой	2	4
69	далеко не	3	4
70	за собой	5	3
71	же как	3	3
72	и другие	3	3
73	что это	2	3
74	если бы	3	3
75	точно так	2	3
76	к этому	3	3
77	можно сказать	2	3
78	так что	3	3
79	и как	2	3
80	представляет собой	2	3
81	в своем	2	3
82	на западе	2	3
83	в качестве	3	3
84	большей частью	2	3
85	не вполне	2	3
86	к концу	3	3
87	отношению к	2	3
88	когда он	3	3
89	при этом	3	3
90	уже не	7	3
91	того что	2	3
92	и те	2	3
93	у них	4	3
94	с этой	2	3
95	что эти	2	3
96	в других	4	3
97	в одном	3	3
98	или иное	3	2
99	с его	4	2
100	на небе	5	2
101	связана с	3	2
102	в них	3	2
103	превращается в	7	2
104	влечет за	2	2
105	но при	2	2
106	в образе	10	2
107	прежде всего	4	2
108	не всегда	4	2
109	утверждать что	2	2
110	на то	2	2
111	уже давно	2	2
112	а также	4	2
113	мы видели	11	2
114	все что	4	2
115	так например	3	2
116	связано с	4	2
117	что мы	2	2
118	еще не	9	2
119	и больше	2	2
120	не могло	2	2
121	один из	3	2
122	жизни и	2	2
123	то или	2	2
124	связь с	11	2
125	только что	2	2
126	отличается от	2	2
127	не было	3	2
128	мы имеем	14	2
129	и сейчас	2	2
130	в одно	2	2
131	его не	2	2
132	и на	12	2
133	людей и	2	2
134	связан с	6	2
135	сказать что	3	2
136	не в	3	2
137	мы можем	7	2
138	и наконец	3	2
139	о котором	2	2
140	в китае	4	2
141	и это	8	2
142	которые в	2	2
143	из этого	3	2
144	относится к	2	2
145	не потому	3	2
146	в эту	2	2
147	и действительно	3	2
148	из него	2	2
