N	2gram	Losev_Prob_5	Literetu
1	а не	5	20
2	и в	30	19
3	может быть	7	17
4	в стихотворении	14	13
5	то же	2	12
6	и не	12	11
7	в том	12	10
8	как и	7	10
9	но и	13	10
10	такого рода	2	9
11	не может	5	9
12	в этом	17	9
13	в то	4	9
14	с другой	6	8
15	не только	18	8
16	и даже	14	8
17	том что	17	7
18	то что	18	7
19	так и	7	7
20	с одной	3	7
21	не менее	5	6
22	однако в	3	6
23	в себе	4	6
24	одной стороны	3	6
25	при этом	4	6
26	и на	6	6
27	я не	2	5
28	у нас	7	5
29	но не	7	5
30	в качестве	4	5
31	он не	3	5
32	вместе с	7	5
33	в году	5	5
34	того что	3	5
35	то есть	21	5
36	что в	5	4
37	в частности	4	4
38	жизни в	4	4
39	прежде всего	6	4
40	не в	7	4
41	отнюдь не	4	4
42	того же	4	4
43	но тем	2	4
44	в ней	3	4
45	в его	12	4
46	еще в	5	4
47	один из	2	4
48	жизни и	2	4
49	ли не	2	4
50	так что	11	4
51	другой стороны	6	4
52	мы не	2	4
53	по отношению	2	4
54	тем что	2	4
55	точки зрения	10	4
56	в поэме	2	4
57	в русской	3	4
58	едва ли	4	4
59	в области	2	4
60	никогда не	7	3
61	о себе	2	3
62	что он	7	3
63	в нем	6	3
64	по существу	2	3
65	и как	6	3
66	в начале	3	3
67	в этой	10	3
68	и он	4	3
69	отношению к	2	3
70	данном случае	2	3
71	а именно	12	3
72	то и	2	3
73	поскольку в	3	3
74	и для	6	3
75	так как	6	3
76	тем же	3	3
77	с точки	8	3
78	а в	6	3
79	и его	6	3
80	и то	5	3
81	и с	5	3
82	всей своей	2	3
83	в данном	2	3
84	в другом	3	3
85	ничего не	2	3
86	том числе	2	2
87	уже в	2	2
88	с тем	5	2
89	у него	11	2
90	в них	2	2
91	в какой	2	2
92	в противоположность	3	2
93	него не	2	2
94	с этой	2	2
95	по крайней	4	2
96	в конце	8	2
97	в виду	3	2
98	в одном	3	2
99	все еще	4	2
100	вовсе не	8	2
101	на плечи	2	2
102	и к	4	2
103	а также	3	2
104	крайней мере	4	2
105	для нас	10	2
106	в ее	3	2
107	тем не	5	2
108	художественного творчества	8	2
109	все что	2	2
110	и нет	2	2
111	и без	2	2
112	тот же	3	2
113	еще не	3	2
114	было бы	4	2
115	и сам	4	2
116	не так	4	2
117	свидетельствует о	2	2
118	в роли	2	2
119	как бы	6	2
120	для себя	5	2
121	что и	6	2
122	все же	9	2
123	но уже	2	2
124	же в	3	2
125	не к	2	2
126	из них	2	2
127	и за	2	2
128	и до	2	2
129	русской литературе	3	2
130	при всем	2	2
131	как раз	5	2
132	и только	2	2
133	но только	3	2
134	на первом	3	2
135	уже не	6	2
136	и что	6	2
137	для того	3	2
138	что не	2	2
139	за то	2	2
140	хотя бы	2	2
141	в сравнении	3	2
142	сравнении с	3	2
143	в результате	7	2
144	потому что	13	2
145	даже и	4	2
146	он и	5	2
147	под названием	4	2
148	такую же	2	2
149	о том	12	2
150	из тех	2	2
151	с ним	3	2
152	но в	9	2
153	мира в	3	2
