N	2gram	Potebnia_M_3	Sotsiolo
1	все это	4	7
2	в том	32	5
3	в этом	10	5
4	не в	15	3
5	для нас	20	3
6	в его	4	3
7	и в	30	3
8	не только	21	3
9	по отношению	5	2
10	еще не	5	2
11	было бы	9	2
12	только в	21	2
13	это и	2	2
14	и мы	2	2
15	таким образом	14	2
16	том что	18	2
17	далеко не	4	2
18	то же	23	2
19	отношению к	5	2
20	то что	18	2
21	тем более	4	2
22	может быть	28	2
23	за пределы	2	2
24	и что	10	2
25	но и	19	2
26	очевидно что	5	2
27	это зависит	2	2
28	только как	5	2
29	в смысле	4	2
30	как бы	3	2
31	что в	17	2
