N	2gram	Nazirov_Tv_2	slovoVRo
1	и в	20	41
2	в нем	3	30
3	и т	13	28
4	то есть	5	26
5	т п	2	23
6	в романе	15	21
7	в роман	2	19
8	могут быть	2	19
9	но и	8	16
10	и не	9	16
11	не только	13	16
12	а не	6	15
13	то же	7	14
14	может быть	8	14
15	и др	3	14
16	не может	7	14
17	и его	9	14
18	и на	5	14
19	в то	10	14
20	в его	10	13
21	же время	7	12
22	как бы	11	12
23	в этом	8	12
24	так и	6	11
25	таким образом	10	9
26	все эти	4	9
27	себя в	2	9
28	прежде всего	8	8
29	на его	4	8
30	точка зрения	2	8
31	но в	4	8
32	как в	4	8
33	не в	4	7
34	у тургенева	2	7
35	с ним	3	7
36	вовсе не	2	7
37	в своей	6	7
38	все же	5	7
39	во всяком	2	7
40	это не	7	6
41	при этом	8	6
42	и даже	5	6
43	а в	4	6
44	в плане	3	6
45	только в	2	6
46	с другой	2	5
47	роман и	2	5
48	в самом	3	5
49	всяком случае	2	5
50	все это	6	5
51	т д	11	5
52	в основе	2	5
53	романа и	3	5
54	с другими	2	5
55	так сказать	2	5
56	и от	4	4
57	одним из	3	4
58	один из	3	4
59	в их	3	4
60	и наконец	2	4
61	рядом с	2	4
62	и с	8	4
63	в которой	2	4
64	как и	6	4
65	еще не	5	4
66	по преимуществу	2	4
67	том же	2	4
68	и потому	4	4
69	в процессе	2	4
70	другой стороны	2	4
71	ничего не	4	4
72	все время	2	3
73	никогда не	11	3
74	точку зрения	2	3
75	в том	8	3
76	и сам	5	3
77	для него	3	3
78	из них	2	3
79	его и	2	3
80	именно в	6	3
81	и других	2	3
82	друг друга	2	3
83	с ними	2	3
84	не было	2	3
85	в истории	2	3
86	о том	5	3
87	его в	3	3
88	так как	3	3
89	у него	6	3
90	в себе	3	3
91	с этой	3	3
92	одной из	3	3
93	он не	3	3
94	в основном	6	3
95	но эти	2	3
96	из этого	2	3
97	более того	2	3
98	и ее	2	3
99	же как	3	2
100	в частности	2	2
101	от этой	2	2
102	или даже	2	2
103	xx века	3	2
104	в известной	4	2
105	так что	2	2
106	что они	4	2
107	например в	5	2
108	где нет	2	2
109	хотя и	4	2
110	и по	2	2
111	в целом	6	2
112	xviii века	2	2
113	уже не	3	2
114	не должны	2	2
115	так же	5	2
116	потому что	7	2
117	однако этот	3	2
118	между тем	3	2
119	не является	3	2
120	в романах	13	2
121	в котором	3	2
122	в одном	2	2
123	в духе	4	2
124	к этому	3	2
125	связь с	2	2
126	у нас	2	2
127	том что	4	2
128	мы видим	4	2
129	одна из	3	2
130	но не	5	2
131	до сих	3	2
132	сих пор	3	2
133	в ее	2	2
134	так в	2	2
135	а с	3	2
136	и у	2	2
137	роль в	2	2
138	мы не	4	2
139	в виде	2	2
140	и вообще	2	2
