N	3gram	Medvedev_F_3	Psycholo
1	для того чтобы	4	19
2	в том что	3	14
3	мы увидим что	2	6
4	к тому что	2	6
5	в зависимости от	5	6
6	в самом деле	4	5
7	с другой стороны	5	5
8	не только не	2	4
9	в этом отношении	3	3
10	одним и тем	2	3
11	и тем же	2	3
12	вместе с тем	3	3
13	то же самое	3	3
14	и т д	6	3
15	и т п	5	3
16	в конце концов	2	2
17	сами по себе	2	2
18	в данном случае	4	2
19	в отличие от	2	2
20	именно потому что	2	2
21	с точки зрения	14	2
22	не может быть	14	2
23	на самом деле	12	2
24	потому что он	3	2
