N	2gram	Tiupa_Disk_1	Formalny
1	и в	16	24
2	в его	7	23
3	прежде всего	11	22
4	и не	11	20
5	так и	8	18
6	не может	9	16
7	точки зрения	3	16
8	в этом	15	15
9	в нем	9	14
10	может быть	17	14
11	таким образом	3	13
12	в своем	6	11
13	не менее	2	11
14	как и	16	11
15	в своей	5	11
16	в их	5	11
17	и ее	2	10
18	то же	7	10
19	а не	22	10
20	и его	2	10
21	и потому	3	9
22	в процессе	5	9
23	в то	3	9
24	в ее	3	8
25	же время	4	8
26	именно в	3	8
27	в свою	3	8
28	литературы в	2	8
29	то что	5	8
30	как в	10	8
31	лишь в	4	8
32	и на	5	8
33	не в	7	8
34	не только	28	7
35	с ее	2	7
36	но и	14	7
37	отнюдь не	8	6
38	и все	2	6
39	в том	23	6
40	в этой	2	6
41	более или	2	6
42	свою очередь	3	6
43	в пределах	2	6
44	еще не	14	6
45	как бы	5	6
46	в целом	4	6
47	о литературе	2	6
48	или менее	2	6
49	а в	5	6
50	отношения к	2	6
51	хотя бы	3	5
52	по себе	3	5
53	в литературе	2	5
54	при этом	13	5
55	и др	2	5
56	не могло	2	5
57	во всех	5	5
58	в самом	3	5
59	со стороны	7	5
60	как мы	2	5
61	того что	3	5
62	должны быть	3	5
63	с другой	10	5
64	но в	8	5
65	с его	4	4
66	в частности	9	4
67	никогда не	2	4
68	не как	4	4
69	стороны и	2	4
70	и к	4	4
71	одной стороны	9	4
72	литературного произведения	3	4
73	оно не	2	4
74	отношению к	9	4
75	по отношению	9	4
76	что в	4	4
77	с одной	9	4
78	во всяком	2	4
79	в истории	4	4
80	но не	11	3
81	связи с	4	3
82	в них	4	3
83	что он	4	3
84	к тому	5	3
85	его как	2	3
86	для него	4	3
87	и как	6	3
88	в каждом	2	3
89	так например	2	3
90	произведение в	2	3
91	один из	3	3
92	все же	3	3
93	отношение к	4	3
94	когда он	2	3
95	отличается от	2	3
96	в особенности	4	3
97	не было	7	3
98	сводится к	5	3
99	и даже	3	3
100	целый ряд	2	3
101	становления и	2	3
102	более того	2	3
103	в литературоведении	2	3
104	в основе	7	3
105	они не	2	3
106	в себе	7	3
107	как к	2	3
108	так сказать	2	3
109	того или	2	2
110	жизни в	2	2
111	сами по	2	2
112	это не	3	2
113	с этим	3	2
114	в одном	2	2
115	эпохи и	2	2
116	в году	2	2
117	не сводится	3	2
118	том чтобы	2	2
119	здесь в	2	2
120	в строгом	3	2
121	уже не	4	2
122	тот или	2	2
123	одновременно с	2	2
124	в различных	2	2
125	в ряду	2	2
126	в современном	2	2
127	не сможет	2	2
128	только в	7	2
129	в действительности	3	2
130	не от	2	2
131	одной из	4	2
132	общения и	2	2
133	к другим	2	2
134	за пределы	2	2
135	еще в	3	2
136	точка зрения	2	2
137	не с	3	2
138	что и	3	2
139	не есть	2	2
140	может и	2	2
141	не приходится	2	2
142	и что	2	2
143	приводит к	2	2
144	в науке	2	2
145	как их	2	2
146	между тем	4	2
147	или на	3	2
148	в своих	3	2
149	на его	4	2
150	к которому	2	2
151	могла бы	2	2
152	бы быть	3	2
153	в произведении	3	2
154	влияния на	2	2
155	мира в	3	2
