N	2gram	Vygotskiy__4	EvropaiE
1	и в	20	37
2	в отношении	10	32
3	точки зрения	24	23
4	что в	19	21
5	не только	15	18
6	с точки	11	17
7	то же	16	15
8	в своем	4	14
9	в качестве	21	14
10	но и	9	14
11	и не	8	14
12	но в	3	14
13	в этом	24	12
14	в их	12	11
15	в том	42	11
16	в области	4	11
17	так и	5	10
18	отнюдь не	3	9
19	прежде всего	2	9
20	в смысле	4	9
21	все более	2	9
22	не может	6	9
23	в себе	10	9
24	только в	10	9
25	так же	11	9
26	к тому	6	8
27	одной стороны	9	8
28	было бы	8	8
29	в своей	7	8
30	с одной	9	8
31	между тем	9	8
32	как и	9	7
33	по своему	4	7
34	того что	10	7
35	а также	2	7
36	с другой	12	7
37	также и	2	7
38	так как	10	7
39	с этой	4	6
40	том что	35	6
41	стороны и	2	6
42	может быть	12	6
43	вслед за	2	6
44	для того	5	6
45	на то	5	6
46	как бы	7	6
47	то что	15	6
48	того чтобы	7	6
49	и на	6	6
50	же как	6	5
51	в частности	5	5
52	столь же	3	5
53	не в	4	5
54	но не	3	5
55	к которым	2	5
56	одной из	3	5
57	со стороны	3	5
58	как мы	13	5
59	в той	2	5
60	тем самым	7	5
61	в виде	3	5
62	этой точки	4	5
63	именно в	3	4
64	на всем	2	4
65	чем в	3	4
66	в самом	6	4
67	в ней	2	4
68	даже в	2	4
69	в процессе	27	4
70	для нас	4	4
71	не имеет	2	4
72	во многих	2	4
73	сказать что	6	4
74	в каком	2	4
75	как это	9	4
76	место в	2	3
77	и к	5	3
78	с более	2	3
79	этом отношении	7	3
80	с тем	6	3
81	уже и	2	3
82	никогда не	5	3
83	вообще не	2	3
84	и от	3	3
85	новое слово	2	3
86	с другом	7	3
87	этом смысле	8	3
88	мы видели	6	3
89	представляет собой	3	3
90	мы можем	5	3
91	в свою	2	3
92	того же	9	3
93	в известном	2	3
94	в данной	2	3
95	друг с	7	3
96	из них	4	3
97	по нашему	2	3
98	всяком случае	3	3
99	не является	5	3
100	и тем	8	3
101	что и	9	3
102	когда он	3	3
103	как в	5	3
104	и только	4	3
105	идет о	3	3
106	в деле	3	3
107	и для	4	3
108	в таком	2	3
109	можно было	6	3
110	в результате	8	3
111	потому что	12	3
112	во всяком	4	3
113	тем что	7	3
114	в данном	2	3
115	о том	5	3
116	в процессах	3	2
117	что все	3	2
118	не могут	3	2
119	и более	7	2
120	относятся к	2	2
121	а не	7	2
122	в этих	3	2
123	сравнению с	3	2
124	в какой	3	2
125	не означает	3	2
126	по сравнению	4	2
127	и во	3	2
128	с этим	5	2
129	к нему	2	2
130	что на	2	2
131	и того	5	2
132	и как	9	2
133	это значит	2	2
134	в силу	6	2
135	такой же	2	2
136	что если	2	2
137	свою очередь	2	2
138	но как	2	2
139	между ними	4	2
140	должна быть	2	2
141	приводит нас	3	2
142	что это	2	2
143	все другие	2	2
144	нас к	3	2
145	в его	11	2
146	только к	3	2
147	не есть	2	2
148	в развитии	25	2
149	наряду с	3	2
150	вместе с	8	2
151	данном случае	2	2
152	во всей	4	2
153	целый ряд	5	2
154	а в	2	2
155	таким образом	25	2
156	если бы	5	2
157	и других	3	2
158	нашему мнению	2	2
159	заключается в	18	2
160	и что	8	2
161	или иному	2	2
162	на этот	3	2
163	другой стороны	9	2
164	этот процесс	6	2
165	на основе	10	2
166	тому или	2	2
167	мы видим	10	2
168	в другой	2	2
169	что эти	2	2
170	и с	4	2
171	могут быть	7	2
172	в этой	3	2
173	и то	10	2
174	по своей	6	2
175	в истории	10	2
176	мы должны	11	2
177	далеко не	2	2
178	как оно	2	2
179	совершенно прав	3	2
180	между собой	5	2
181	и поэтому	3	2
182	бы в	3	2
183	тогда когда	8	2
