N	2gram	Savitsky_P_1	Literetu
1	не только	17	24
2	в качестве	9	17
3	но и	6	17
4	а не	2	16
5	в том	9	16
6	в частности	2	15
7	том что	4	14
8	может быть	5	13
9	и не	12	12
10	в этом	10	12
11	прежде всего	3	11
12	в своем	4	11
13	то что	4	10
14	хх века	2	10
15	в русской	4	10
16	не в	5	8
17	и в	14	8
18	только в	7	8
19	не менее	2	7
20	в его	2	7
21	как бы	4	7
22	в себе	3	7
23	я и	3	7
24	в жизни	2	6
25	того что	2	6
26	точки зрения	3	6
27	xix века	6	6
28	же в	4	5
29	же время	7	5
30	а также	4	5
31	не может	4	5
32	то же	9	5
33	тем самым	3	5
34	не столько	2	5
35	в то	7	5
36	столь же	3	4
37	это не	3	4
38	в силу	2	4
39	но не	3	4
40	культуры в	2	4
41	и тем	2	4
42	из них	2	4
43	со стороны	2	4
44	как раз	2	4
45	не было	2	3
46	что в	4	3
47	и есть	2	3
48	с другой	5	3
49	сводится к	3	3
50	да и	2	3
51	одна из	2	3
52	в пределах	8	3
53	например в	2	3
54	в сфере	2	3
55	а в	4	3
56	более чем	2	3
57	потому что	3	3
58	но в	9	3
59	в области	11	3
60	для них	2	2
61	отнюдь не	2	2
62	и весьма	2	2
63	россии как	3	2
64	в мире	2	2
65	одной стороны	3	2
66	было бы	6	2
67	в нем	3	2
68	не к	2	2
69	в е	2	2
70	с одной	3	2
71	хотя бы	8	2
72	с точки	3	2
73	между тем	3	2
74	тем более	2	2
75	могут быть	3	2
76	в россии	3	2
