N	3gram	Vygotskiy__5	Psycholo
1	в самом деле	2	18
2	в том что	11	11
3	с точки зрения	9	9
4	то же самое	4	8
5	для того чтобы	14	8
6	мы видим что	2	7
7	в сущности говоря	4	7
8	с самого начала	5	6
9	заключается в том	5	6
10	с одной стороны	3	5
11	с другой стороны	2	5
12	до сих пор	3	5
13	о том что	4	3
14	мы могли бы	6	3
15	то и другое	2	3
16	и то что	2	3
17	и в другом	2	2
18	то что он	2	2
19	в то время	4	2
20	не то что	3	2
21	в свою очередь	3	2
22	того же самого	3	2
23	как мы видели	2	2
24	о том как	2	2
25	в лучшем случае	3	2
26	вместе с тем	2	2
27	то время как	4	2
