N	2gram	Tiupa_Narr_1	Myshleni
1	и в	19	25
2	в том	18	23
3	том что	14	20
4	что в	3	17
5	так же	2	17
6	в основе	5	16
7	как и	7	15
8	то что	11	15
9	в его	9	15
10	в этом	17	14
11	может быть	25	13
12	между собой	2	13
13	в качестве	21	12
14	перед нами	4	10
15	что они	3	10
16	как бы	4	10
17	и не	20	10
18	было бы	4	10
19	только в	4	10
20	связи с	4	9
21	как в	7	9
22	ни в	3	9
23	не является	8	8
24	тем что	3	8
25	как мы	3	8
26	уже в	3	7
27	столь же	3	7
28	все эти	2	7
29	что мы	2	7
30	как это	6	7
31	по себе	5	7
32	по своей	3	7
33	в области	2	7
34	не менее	3	6
35	с другой	8	6
36	в собственном	2	6
37	не в	14	6
38	же как	3	6
39	один из	3	6
40	не может	10	6
41	в связи	2	6
42	и на	3	6
43	приходит к	2	6
44	что он	6	6
45	в силу	4	6
46	представляет собой	13	6
47	но не	5	6
48	не только	32	6
49	все же	7	6
50	в отличие	5	6
51	точки зрения	10	6
52	можно было	2	6
53	отличие от	5	6
54	так и	9	5
55	именно в	6	5
56	что это	3	5
57	тем не	3	5
58	и как	5	5
59	для него	2	5
60	одной стороны	7	5
61	при этом	9	5
62	одним из	2	5
63	с одной	7	5
64	с ее	3	5
65	о том	6	5
66	как говорит	3	5
67	из которых	4	5
68	могут быть	3	5
69	в этой	5	5
70	и т.д	7	5
71	независимо от	2	4
72	в частности	14	4
73	никогда не	3	4
74	в своем	2	4
75	в какой	2	4
76	из этих	3	4
77	прежде всего	4	4
78	к тому	7	4
79	мог бы	3	4
80	не мог	4	4
81	отнюдь не	5	4
82	из них	3	4
83	но и	23	4
84	не столько	4	4
85	а в	11	4
86	сказать что	4	4
87	в то	3	4
88	мы имеем	2	4
89	в известном	2	4
90	и все	2	4
91	встречается в	2	4
92	еще не	7	4
93	он не	3	4
94	приводит к	2	4
95	этого слова	2	4
96	в себя	6	3
97	в свою	3	3
98	переход от	4	3
99	вслед за	4	3
100	имеет место	4	3
101	если в	3	3
102	на том	3	3
103	который в	2	3
104	другой стороны	4	3
105	отличается от	4	3
106	по отношению	7	3
107	этом отношении	3	3
108	в результате	2	3
109	между тем	3	3
110	его в	2	3
111	к которому	2	3
112	в случае	7	3
113	не как	2	3
114	состоит в	13	3
115	но как	2	3
116	то в	6	3
117	или иной	5	3
118	наряду с	2	3
119	сами по	2	3
120	не есть	3	3
121	или менее	2	3
122	дело с	2	3
123	а с	3	3
124	когда он	3	3
125	между ними	2	3
126	как известно	2	3
127	то же	4	2
128	в общей	2	2
129	известном смысле	2	2
130	включает в	2	2
131	и одновременно	2	2
132	одного из	4	2
133	этой точки	2	2
134	а по	2	2
135	ни было	3	2
136	но все	4	2
137	свою очередь	3	2
138	имеем дело	2	2
139	такого рода	7	2
140	хотя и	3	2
141	той или	4	2
142	в роли	2	2
143	постольку поскольку	2	2
144	в нем	4	2
145	и только	2	2
146	от всех	2	2
147	на себя	3	2
148	каждый из	2	2
149	от одного	2	2
150	того или	2	2
151	зрения на	2	2
152	бы быть	3	2
153	что по	2	2
154	между двумя	5	2
155	с его	6	2
156	однако в	2	2
157	к другому	2	2
158	рода но	2	2
159	говорит и	2	2
160	или иного	2	2
161	на первый	2	2
162	же в	4	2
163	в таком	2	2
164	одна из	3	2
165	иначе говоря	6	2
166	и потому	2	2
167	а также	7	2
168	оно не	2	2
169	отношению к	6	2
170	не будет	3	2
171	в мире	9	2
172	именно это	2	2
173	уже не	5	2
174	тем самым	6	2
175	и для	2	2
176	и его	5	2
177	или в	2	2
178	или иначе	3	2
179	тому как	2	2
180	в себе	8	2
