N	2gram	Bakhtin_sl_1	Literetu
1	и не	16	22
2	и в	41	16
3	при этом	6	15
4	не только	16	14
5	но и	16	14
6	в этом	12	14
7	а не	15	12
8	может быть	14	12
9	в том	3	12
10	в частности	2	11
11	не в	7	10
12	такого рода	2	10
13	то же	14	9
14	так и	11	9
15	того что	3	9
16	в то	14	9
17	том что	2	8
18	не может	14	8
19	как бы	12	8
20	в своей	7	7
21	же время	12	7
22	себя в	9	7
23	точки зрения	16	7
24	только в	6	7
25	с его	4	6
26	с другой	5	6
27	к тому	3	6
28	еще не	4	6
29	в его	13	6
30	и его	14	6
31	в себе	3	6
32	в другом	2	6
33	о том	3	6
34	в качестве	3	5
35	это не	6	5
36	в ее	2	5
37	как и	4	5
38	лишь в	4	5
39	в целом	2	5
40	как в	8	5
41	а в	6	5
42	именно в	3	5
43	в основе	5	5
44	то есть	26	5
45	в поэзии	3	5
46	но не	2	4
47	никогда не	3	4
48	даже в	2	4
49	по существу	3	4
50	до конца	12	4
51	одной стороны	4	4
52	и для	4	4
53	одним из	4	4
54	хотя и	2	4
55	из них	3	4
56	данном случае	3	4
57	входит в	4	4
58	с одной	4	4
59	а также	2	4
60	должно быть	2	4
61	в данном	3	4
62	в одном	2	4
63	все время	3	3
64	прежде всего	8	3
65	более того	3	3
66	в романе	21	3
67	то в	2	3
68	совершенно не	2	3
69	например в	2	3
70	и к	5	3
71	на его	8	3
72	в самом	5	3
73	наконец в	2	3
74	в слове	7	3
75	и тем	2	3
76	с ее	4	3
77	бы и	3	3
78	уже не	2	3
79	и наконец	4	3
80	с точки	8	3
81	той же	2	3
82	потому что	2	3
83	там где	4	3
84	но в	8	3
85	между тем	2	3
86	ни было	2	2
87	к предмету	4	2
88	все они	7	2
89	и одновременно	2	2
90	оно не	6	2
91	с этой	3	2
92	не как	4	2
93	одного из	2	2
94	к этому	2	2
95	романа и	5	2
96	автором и	2	2
97	или иной	9	2
98	в нем	30	2
99	и ее	3	2
100	у нас	2	2
101	связи с	2	2
102	а на	2	2
103	того же	6	2
104	в свою	3	2
105	для него	3	2
106	можно сказать	2	2
107	было бы	3	2
108	и сам	3	2
109	без другого	2	2
110	во всех	17	2
111	поэзии и	4	2
112	той или	9	2
113	о нем	4	2
114	один из	4	2
115	не с	2	2
116	все же	7	2
117	отношение к	7	2
118	с ней	2	2
119	как мы	8	2
120	так же	2	2
121	как раз	2	2
122	для того	2	2
123	другой стороны	4	2
124	и даже	6	2
125	с ними	3	2
126	и на	14	2
127	мы и	2	2
128	и с	4	2
129	автора и	4	2
130	быть только	2	2
131	он в	5	2
132	эти слова	2	2
133	далеко не	5	2
134	ответственность за	2	2
135	установка на	6	2
136	его в	3	2
137	в первом	3	2
138	и потому	4	2
139	здесь не	2	2
140	лишь на	3	2
141	вне себя	3	2
