N	2gram	Vygotskiy__1	Morfolog
1	может быть	14	52
2	и пр	2	40
3	таким образом	26	20
4	представляет собой	11	17
5	не может	12	17
6	в этих	2	16
7	могут быть	3	15
8	с этим	6	14
9	и в	23	13
10	в этом	17	13
11	так как	7	12
12	перед нами	5	11
13	мы видим	4	11
14	связи с	3	11
15	представляют собой	2	10
16	заметить что	2	10
17	прежде всего	10	9
18	так и	5	9
19	то же	8	9
20	и не	9	9
21	а не	3	9
22	с другой	10	8
23	а затем	5	8
24	по существу	4	8
25	в результате	4	8
26	вопрос о	7	7
27	в качестве	9	7
28	все же	3	7
29	в том	24	6
30	но не	4	6
31	а в	2	6
32	если мы	2	5
33	в море	2	5
34	в ходе	8	5
35	вслед за	2	5
36	во всех	3	5
37	как бы	11	5
38	один из	2	5
39	то что	17	5
40	потому что	6	5
41	мы не	7	5
42	что в	14	4
43	и как	5	4
44	вовсе не	3	4
45	об этом	3	4
46	что его	2	4
47	отношению к	7	4
48	было бы	4	4
49	несмотря на	2	4
50	не только	16	4
51	как в	4	4
52	как мы	5	4
53	другой стороны	9	4
54	тех же	2	4
55	так же	16	4
56	по отношению	7	4
57	показать что	2	4
58	как и	14	4
59	там где	2	4
60	хотя и	2	4
61	тем что	6	4
62	точки зрения	26	4
63	с точки	18	4
64	на этом	2	4
65	ничего не	3	4
66	только что	4	3
67	связана с	2	3
68	независимо от	6	3
69	если бы	5	3
70	в нашем	2	3
71	между собой	5	3
72	с собой	2	3
73	в какой	5	3
74	он должен	2	3
75	том что	21	3
76	но все	2	3
77	что они	3	3
78	в целом	20	3
79	того чтобы	17	3
80	в сущности	6	3
81	он не	5	3
82	не является	9	3
83	и другим	2	3
84	в первом	2	3
85	ни в	4	3
86	но и	14	3
87	на него	2	3
88	от того	6	3
89	целый ряд	4	3
90	самом деле	3	3
91	из которых	3	3
92	можно назвать	2	3
93	мы можем	6	3
94	и ее	7	3
95	в то	7	3
96	мы должны	5	3
97	в один	2	3
98	но в	5	3
99	и более	5	2
100	с тем	7	2
101	ход и	3	2
102	в виде	2	2
103	в частности	2	2
104	хотя бы	4	2
105	что эта	2	2
106	к этому	4	2
107	как уже	7	2
108	что он	7	2
109	в собственном	5	2
110	можно сказать	5	2
111	и к	4	2
112	на первый	2	2
113	не с	2	2
114	и при	2	2
115	иначе чем	2	2
116	только в	6	2
117	тем и	3	2
118	как таковая	2	2
119	смысле слова	3	2
120	то время	5	2
121	для него	2	2
122	тех случаях	2	2
123	одной стороны	9	2
124	и функции	4	2
125	собственном смысле	5	2
126	вопроса о	2	2
127	может не	3	2
128	и таким	2	2
129	а с	4	2
130	с одной	8	2
131	все эти	4	2
132	и что	5	2
133	того что	15	2
134	для того	15	2
135	уже не	2	2
136	не имеет	2	2
137	и его	6	2
138	можно было	3	2
139	с двумя	2	2
140	в каком	3	2
141	этот вопрос	3	2
142	в другом	7	2
143	что мы	5	2
144	о том	6	2
145	что эти	2	2
146	ясно что	2	2
147	сказать что	11	2
148	как это	2	2
149	нашей работы	8	2
150	время как	4	2
