N	2gram	Potebnia_M_4	SlovoVZh
1	не может	11	16
2	точки зрения	4	14
3	может быть	26	14
4	и его	2	13
5	как бы	5	13
6	таким образом	24	12
7	и в	23	12
8	в нашем	2	11
9	отношению к	8	11
10	по отношению	10	11
11	и не	18	10
12	если бы	13	9
13	так как	14	9
14	для нас	14	7
15	сказать что	8	7
16	в нем	7	6
17	в процессе	3	6
18	при этом	15	6
19	в том	23	6
20	только в	15	6
21	слова и	5	6
22	в ней	2	6
23	и др	2	5
24	то что	29	5
25	никогда не	3	5
26	а не	12	5
27	можно сказать	4	5
28	то же	14	5
29	хотя бы	4	5
30	как и	14	5
31	том что	12	5
32	как в	7	5
33	что мы	10	5
34	и следовательно	3	5
35	но в	8	5
36	в виду	3	5
37	и к	6	4
38	отношение к	2	4
39	так и	6	4
40	от того	4	4
41	с другой	2	4
42	на самом	3	4
43	уже не	3	4
44	что не	6	4
45	не в	11	4
46	в этом	23	4
47	и на	3	4
48	его в	4	4
49	в самом	3	4
50	к нему	5	4
51	не только	10	4
52	в котором	4	3
53	в них	3	3
54	и более	4	3
55	не менее	5	3
56	быть и	2	3
57	сих пор	4	3
58	художественное произведение	2	3
59	все это	5	3
60	и по	3	3
61	и вообще	2	3
62	все эти	3	3
63	по себе	11	3
64	слово в	4	3
65	но и	11	3
66	того что	14	3
67	и проч	18	3
68	тем не	4	3
69	да и	4	3
70	поэтического произведения	5	3
71	так же	4	3
72	самом деле	3	3
73	мы не	8	3
74	и с	4	3
75	о том	8	3
76	в каком	4	3
77	в себе	14	3
78	для него	5	3
79	до сих	4	3
80	еще не	3	3
81	в поэзии	3	3
82	только на	4	3
83	и для	2	3
84	конечно не	2	3
85	из этого	2	3
86	с ним	5	3
87	между тем	9	3
88	имеет в	2	3
89	и значение	3	2
90	уже в	5	2
91	но мы	2	2
92	что и	7	2
93	независимо от	6	2
94	что в	17	2
95	данном случае	2	2
96	вместе с	6	2
97	и так	3	2
98	в этих	3	2
99	в своем	8	2
100	допустим что	5	2
101	нет ничего	3	2
102	что слово	10	2
103	это не	7	2
104	влияние на	2	2
105	мы имеем	4	2
106	и все	4	2
107	бы не	3	2
108	тогда когда	8	2
109	те же	3	2
110	его к	2	2
111	и что	7	2
112	ко всем	3	2
113	не есть	9	2
114	можем сказать	2	2
115	не так	2	2
116	и вполне	2	2
117	с точки	3	2
118	и здесь	2	2
119	как же	4	2
120	же самое	4	2
121	и притом	2	2
122	с другими	4	2
123	но это	3	2
124	до известной	2	2
125	в данном	4	2
126	и то	5	2
127	тем как	2	2
128	самое слово	4	2
129	мы можем	10	2
130	могут быть	7	2
131	но тем	2	2
132	но что	2	2
133	есть уже	4	2
134	со словом	3	2
135	кроме того	3	2
136	она не	2	2
137	в то	4	2
138	мы в	3	2
139	если же	4	2
140	к слову	3	2
141	и та	4	2
142	эта последняя	2	2
143	там где	3	2
144	которые мы	2	2
145	оно не	2	2
146	к ним	2	2
147	к его	2	2
148	он не	2	2
149	известной степени	3	2
150	в его	5	2
151	и потому	10	2
152	из него	2	2
153	между ними	4	2
