N	2gram	Propp_Russ_1	KulturaY
1	и т	10	54
2	т е	17	32
3	и в	36	23
4	точки зрения	3	23
5	в том	17	22
6	не только	22	17
7	в этом	12	16
8	с точки	3	16
9	в области	3	14
10	может быть	8	14
11	что в	19	13
12	не менее	3	12
13	потому что	10	12
14	том что	19	11
15	а не	2	11
16	того что	4	11
17	в его	2	11
18	у нас	8	10
19	и не	6	10
20	можно говорить	2	10
21	тем не	3	9
22	еще не	4	9
23	таким образом	6	9
24	так как	15	9
25	между прочим	2	8
26	т д	9	8
27	уже не	6	8
28	в нашем	2	7
29	и что	4	7
30	все эти	2	7
31	как это	8	7
32	того как	5	7
33	с тем	8	6
34	для этого	2	6
35	что и	7	6
36	в силу	2	6
37	после того	2	6
38	при этом	6	6
39	так и	7	6
40	в их	4	6
41	не может	4	6
42	то же	3	6
43	могут быть	2	6
44	связи с	4	6
45	только в	4	6
46	о том	8	6
47	ничего не	3	6
48	независимо от	2	5
49	как и	10	5
50	хотя и	2	5
51	что она	2	5
52	как бы	5	5
53	не значит	2	5
54	всякого рода	3	5
55	все же	5	5
56	не будем	3	5
57	в связи	4	5
58	как мы	10	5
59	а в	9	5
60	но это	4	5
61	тем что	4	5
62	из этих	4	5
63	далеко не	3	5
64	слова в	3	4
65	тому что	4	4
66	один из	8	4
67	этого слова	3	4
68	а также	3	4
69	этом случае	5	4
70	для нас	6	4
71	в целом	2	4
72	не случайно	2	4
73	то что	6	4
74	как в	5	4
75	в своем	3	4
76	не было	2	4
77	между тем	7	4
78	в числе	2	4
79	и более	2	3
80	что это	3	3
81	отнюдь не	2	3
82	это не	10	3
83	на самом	2	3
84	п в	13	3
85	к тому	4	3
86	и к	3	3
87	что на	4	3
88	по существу	4	3
89	что именно	2	3
90	но не	2	3
91	в какой	2	3
92	но и	16	3
93	связь между	2	3
94	а с	4	3
95	мы не	6	3
96	в ней	2	3
97	и пр	2	3
98	не имеет	6	3
99	и с	2	3
100	в которых	5	3
101	этот вопрос	2	3
102	она не	2	3
103	мы должны	2	3
104	там где	2	3
105	такой же	2	2
106	только для	2	2
107	все это	6	2
108	но все	3	2
109	о чем	3	2
110	в частности	2	2
111	не означает	2	2
112	в одном	3	2
113	как например	3	2
114	как они	2	2
115	главным образом	2	2
116	в тех	4	2
117	и здесь	2	2
118	состоит в	8	2
119	и как	2	2
120	в дальнейшем	2	2
121	на западе	2	2
122	которые можно	2	2
123	что они	7	2
124	в различных	2	2
125	к вопросу	2	2
126	чем в	2	2
127	с целью	2	2
128	в качестве	3	2
129	к другому	2	2
130	нас к	2	2
131	не с	3	2
132	своего рода	3	2
133	когда он	2	2
134	в некоторых	4	2
135	вместе с	10	2
136	в свете	2	2
137	так в	4	2
138	в особенности	2	2
139	для обозначения	2	2
140	по происхождению	3	2
141	не просто	2	2
142	на этот	3	2
143	так же	3	2
144	на себя	2	2
145	чем можно	2	2
146	на этом	3	2
147	в русском	4	2
148	как он	2	2
149	в этих	3	2
150	в россии	4	2
151	мы имеем	4	2
152	но в	2	2
153	е в	8	2
