N	2gram	Berdyaev_N_1	KulturaY
1	потому что	4	25
2	и в	16	23
3	не только	5	20
4	в том	8	19
5	в этом	7	18
6	и не	11	16
7	ни к	2	15
8	может быть	7	15
9	все эти	2	12
10	том что	2	11
11	того чтобы	2	11
12	но в	2	11
13	в русском	2	10
14	что в	9	10
15	а не	17	10
16	вопрос о	3	9
17	то что	4	9
18	хотя бы	2	9
19	можно было	2	9
20	не может	16	9
21	с другой	3	8
22	прежде всего	4	8
23	не в	6	8
24	уже не	2	8
25	и что	2	8
26	и пр	3	8
27	не менее	4	7
28	но и	3	7
29	другой стороны	2	7
30	и с	2	7
31	это не	4	6
32	но не	2	6
33	и на	2	6
34	я не	2	5
35	должна быть	3	5
36	что все	2	5
37	этом смысле	2	5
38	по существу	2	5
39	еще не	3	5
40	должен быть	5	5
41	вместе с	2	5
42	все это	5	5
43	лишь в	6	5
44	как это	2	5
45	в них	4	4
46	к тому	3	4
47	ни в	6	4
48	должно быть	4	4
49	хотя и	2	4
50	в нем	5	4
51	так же	2	4
52	не было	4	4
53	не имеет	4	4
54	сказать что	3	4
55	могут быть	2	4
56	в то	2	4
57	так и	2	4
58	у него	2	3
59	для этого	2	3
60	это и	2	3
61	но это	6	3
62	но для	2	3
63	в ней	5	3
64	он не	8	3
65	как не	8	3
66	что она	2	3
67	как в	3	3
68	с этим	2	3
69	не знает	6	3
70	что такое	3	3
71	вот почему	2	3
72	а в	2	3
73	и это	2	3
74	есть в	2	3
75	же как	2	2
76	с тем	3	2
77	и есть	10	2
78	никогда не	6	2
79	и от	2	2
80	и все	4	2
81	в одну	2	2
82	и потому	4	2
83	с одной	2	2
84	смысле слова	3	2
85	как будто	2	2
86	ли это	2	2
87	она не	3	2
88	конечно не	3	2
89	и даже	2	2
90	наше время	4	2
91	в своей	3	2
92	все они	2	2
93	в наше	3	2
94	мы говорим	2	2
95	и для	4	2
96	как и	7	2
97	роль в	2	2
98	революции и	3	2
