N	2gram	Berdyaev_M_1	Morfolog
1	может быть	30	52
2	не может	28	17
3	т е	2	16
4	в этих	4	16
5	могут быть	2	15
6	с этим	3	14
7	и в	28	13
8	в этом	20	13
9	так как	3	12
10	мы видим	2	11
11	прежде всего	10	9
12	и не	11	9
13	а не	25	9
14	что и	4	8
15	вопрос о	2	7
16	но если	3	7
17	все же	2	7
18	в иное	2	6
19	это не	5	6
20	этот случай	2	6
21	не могут	5	6
22	в том	6	6
23	но не	8	6
24	а в	4	6
25	мы увидим	3	5
26	как бы	2	5
27	не все	2	5
28	один из	4	5
29	то что	5	5
30	потому что	16	5
31	что в	10	4
32	и как	2	4
33	отношению к	2	4
34	было бы	10	4
35	не только	29	4
36	как в	2	4
37	по отношению	2	4
38	как и	5	4
39	на пути	4	4
40	тем что	4	4
41	точки зрения	4	4
42	на этом	3	4
43	также и	2	4
44	его в	3	4
45	в иных	3	4
46	ничего не	3	4
47	связана с	2	3
48	прежде чем	2	3
49	если бы	2	3
50	с собой	3	3
51	в начале	2	3
52	он должен	3	3
53	том что	3	3
54	того чтобы	2	3
55	он не	24	3
56	но и	25	3
57	входит в	2	3
58	к чему	2	3
59	и по	4	3
60	к нему	7	3
61	и для	2	3
62	в то	2	3
63	с того	2	3
64	но в	7	3
65	значит что	4	3
66	с тем	9	2
67	хотя бы	3	2
68	к этому	2	2
69	что он	10	2
70	и к	2	2
71	только в	6	2
72	от него	4	2
73	есть и	3	2
74	смысле слова	4	2
75	то время	2	2
76	момент в	2	2
77	для него	11	2
78	никто не	2	2
79	в ином	2	2
80	не значит	2	2
81	же можно	2	2
82	себя и	3	2
83	не существует	2	2
84	себя в	3	2
85	может не	2	2
86	все эти	2	2
87	и что	2	2
88	того что	7	2
89	для того	2	2
90	уже не	4	2
91	не имеет	3	2
92	и его	9	2
93	в каком	2	2
94	самого себя	2	2
95	не знает	4	2
96	о том	2	2
97	сказать что	2	2
98	время как	2	2
