N	3gram	Tiupa_Narr_1	Vvedenie
1	о том что	6	12
2	в том что	8	12
3	тем не менее	3	8
4	не может быть	5	8
5	то же время	3	6
6	в то же	3	6
7	с другой стороны	4	5
8	в данном случае	4	4
9	не только в	2	4
10	с одной стороны	7	4
11	можно было бы	2	4
12	что иное как	2	4
13	в этом отношении	3	4
14	не что иное	2	4
15	по отношению к	6	4
16	так или иначе	2	4
17	можно сказать что	4	3
18	в известном смысле	2	3
19	но все же	4	3
20	той или иной	4	2
21	с точки зрения	2	2
22	точно так же	2	2
23	в связи с	2	2
24	состоит в том	3	2
25	подобно тому как	2	2
