N	2gram	Bakhtin_sl_2	FransuaR
1	и в	39	56
2	то есть	26	24
3	в романе	46	21
4	в его	7	18
5	таким образом	8	17
6	все эти	6	15
7	в этом	16	14
8	в том	5	13
9	так и	15	13
10	и его	33	12
11	в то	4	12
12	в этих	7	11
13	до конца	17	11
14	как бы	7	11
15	и т.п	2	11
16	в них	6	11
17	то же	4	11
18	же время	4	10
19	еще не	7	10
20	мы уже	2	10
21	только в	5	9
22	но и	21	9
23	и не	22	9
24	том что	5	8
25	в сущности	6	8
26	не только	24	8
27	и др	4	8
28	в нем	19	8
29	во всех	12	8
30	сих пор	2	8
31	и их	5	8
32	все это	16	8
33	и даже	7	8
34	до сих	2	8
35	и с	9	8
36	у него	3	7
37	в большинстве	6	7
38	как мы	7	7
39	и на	4	7
40	все они	2	6
41	прежде всего	8	6
42	вовсе не	10	6
43	языка и	9	6
44	в той	4	6
45	эпохи и	2	6
46	той же	3	6
47	на его	2	6
48	точки зрения	8	6
49	связи с	3	6
50	и все	5	6
51	большинстве случаев	5	6
52	но в	6	6
53	но не	6	5
54	с его	7	5
55	никогда не	7	5
56	в отношении	4	5
57	в пределах	13	5
58	с ее	2	5
59	как и	6	5
60	и другие	2	5
61	одним из	2	5
62	он не	2	5
63	один из	5	5
64	мы видели	2	5
65	в процессе	13	5
66	что в	3	5
67	не было	2	5
68	роль в	2	5
69	в результате	2	5
70	они не	2	5
71	так сказать	6	5
72	в области	2	5
73	не был	2	4
74	и более	2	4
75	в себе	2	4
76	например в	5	4
77	и к	6	4
78	конечно не	5	4
79	за пределы	2	4
80	наконец в	4	4
81	в ней	3	4
82	и потому	7	4
83	даже в	2	4
84	литературного языка	12	4
85	взаимоосвещения языков	3	4
86	с одной	5	4
87	при этом	7	4
88	и других	4	4
89	язык в	6	4
90	того чтобы	2	4
91	в свете	3	4
92	в основе	4	4
93	во всем	4	4
94	ту же	3	4
95	о том	2	4
96	в особенности	3	4
97	так как	4	4
98	одна из	4	4
99	перед нами	3	3
100	со всею	3	3
101	всех этих	4	3
102	в своем	6	3
103	национального языка	3	3
104	как например	2	3
105	и здесь	2	3
106	слов и	3	3
107	более того	2	3
108	здесь в	3	3
109	кроме того	2	3
110	языков и	9	3
111	может быть	37	3
112	в некоторых	3	3
113	а также	3	3
114	связи и	2	3
115	что и	3	3
116	то что	2	3
117	в форме	2	3
118	в их	2	3
119	в связи	2	3
120	на них	2	3
121	там где	6	3
122	с помощью	4	3
123	уже не	5	3
124	и наконец	5	3
125	не в	9	3
126	мы наблюдаем	2	3
127	рядом с	3	3
128	конечно и	2	3
129	сказать что	3	3
130	между тем	3	3
131	речи и	3	3
132	но он	2	3
133	к его	2	3
134	литературно-языковое сознание	2	3
135	в другом	2	3
136	слова и	8	3
137	свой язык	2	2
138	в виде	2	2
139	в нашем	2	2
140	на котором	2	2
141	с другой	5	2
142	это не	5	2
143	уже в	2	2
144	и образ	2	2
145	в одном	2	2
146	человека и	3	2
147	языка а	5	2
148	что он	2	2
149	конечно в	2	2
150	бы и	3	2
151	новое время	2	2
152	исторической жизни	3	2
153	точек зрения	3	2
154	ни в	4	2
155	узком смысле	4	2
156	и как	3	2
157	но это	3	2
158	в узком	4	2
159	для него	7	2
160	с их	3	2
161	одной стороны	5	2
162	нем и	2	2
163	а в	4	2
164	хотя и	2	2
165	всех областях	4	2
166	точка зрения	2	2
167	все же	6	2
168	действующих лиц	2	2
169	слово самого	2	2
170	его как	2	2
171	вместе с	2	2
172	романа в	5	2
173	или менее	2	2
174	не может	20	2
175	них и	2	2
176	как к	3	2
177	язык и	7	2
178	того как	2	2
179	в значительной	6	2
180	а не	14	2
181	для того	2	2
182	с одним	2	2
183	к нему	3	2
184	и для	5	2
185	с точки	3	2
186	его в	4	2
187	в слове	6	2
188	мы не	2	2
189	в данном	2	2
190	людей и	2	2
191	также и	2	2
192	связан с	3	2
193	и при	2	2
194	на мир	2	2
195	языка в	6	2
196	той или	5	2
197	далеко не	2	2
198	почти до	2	2
199	дело в	2	2
200	зрения на	2	2
201	почти все	2	2
202	здесь как	2	2
203	мира и	5	2
204	с ним	7	2
205	отметить что	3	2
206	более или	2	2
207	это очень	2	2
208	латыни и	2	2
209	языков в	8	2
