N	2gram	Trubetskoy_1	KulturaY
1	и в	23	23
2	точки зрения	13	23
3	в том	30	22
4	не только	7	17
5	было бы	3	16
6	в этом	12	16
7	с точки	8	16
8	в области	4	14
9	может быть	16	14
10	самом деле	12	14
11	что в	8	13
12	в самом	8	13
13	не менее	7	12
14	для того	8	12
15	потому что	9	12
16	вопрос о	3	11
17	том что	19	11
18	того что	6	11
19	в его	5	11
20	того чтобы	8	11
21	у нас	3	10
22	и не	8	10
23	прежде всего	3	9
24	тем не	4	9
25	еще не	5	9
26	хотя бы	4	9
27	таким образом	31	9
28	так как	7	9
29	если бы	8	8
30	лишь в	5	8
31	до сих	8	8
32	между прочим	2	8
33	сих пор	8	8
34	как на	4	8
35	в виду	2	8
36	в нашем	3	7
37	с другой	6	7
38	если мы	4	7
39	те же	2	7
40	и что	8	7
41	должно быть	4	7
42	в данном	3	7
43	все эти	19	7
44	с тем	2	6
45	для этого	7	6
46	что и	7	6
47	что он	7	6
48	в силу	7	6
49	тот же	3	6
50	при этом	9	6
51	так и	10	6
52	в их	4	6
53	не может	17	6
54	то же	4	6
55	в общем	6	6
56	говорить о	2	6
57	связи с	4	6
58	только в	6	6
59	о том	7	6
60	что же	2	5
61	я не	2	5
62	не могут	4	5
63	независимо от	2	5
64	вовсе не	2	5
65	при чем	6	5
66	как и	9	5
67	не в	8	5
68	совершенно не	3	5
69	хотя и	4	5
70	как бы	10	5
71	все же	13	5
72	от того	3	5
73	в связи	3	5
74	как мы	2	5
75	во внимание	2	5
76	а в	3	5
77	также и	2	5
78	тем более	3	5
79	из этих	8	5
80	далеко не	5	5
81	том случае	4	4
82	тому что	2	4
83	ясно что	8	4
84	этого слова	2	4
85	этом случае	4	4
86	для нас	3	4
87	только тогда	2	4
88	в целом	5	4
89	того же	9	4
90	тех пор	2	4
91	одной стороны	2	4
92	столь же	5	4
93	в сущности	2	4
94	том чтобы	2	4
95	то что	18	4
96	до тех	2	4
97	данном случае	3	4
98	целый ряд	4	4
99	в своем	10	4
100	не было	2	4
101	с одной	3	4
102	о них	2	4
103	заключается в	2	4
104	тем самым	3	4
105	в таком	4	4
106	между тем	12	4
107	тех же	2	4
108	тогда когда	3	4
109	а лишь	2	3
110	на вопрос	4	3
111	но на	2	3
112	и более	2	3
113	что это	5	3
114	отнюдь не	2	3
115	это не	3	3
116	говорить что	3	3
117	на самом	7	3
118	должна быть	5	3
119	сказано выше	3	3
120	именно в	5	3
121	к тому	8	3
122	и к	5	3
123	с этой	3	3
124	но как	2	3
125	по существу	6	3
126	мы видели	2	3
127	то в	2	3
128	но не	2	3
129	очевидно что	3	3
130	но для	2	3
131	так называемого	5	3
132	он не	3	3
133	но если	2	3
134	не есть	2	3
135	только то	2	3
136	отношение к	4	3
137	в процессе	2	3
138	но и	9	3
139	на него	2	3
140	по отношению	9	3
141	другой стороны	5	3
142	тому же	6	3
143	а с	4	3
144	они не	2	3
145	в ней	3	3
146	не так	4	3
147	не потому	2	3
148	и с	5	3
149	что как	4	3
150	в которых	2	3
151	этот вопрос	2	3
152	в результате	9	3
153	в то	6	3
154	я в	2	3
155	и только	2	3
156	она не	2	3
157	мы должны	4	3
158	такой же	2	2
159	все это	11	2
160	не понимают	2	2
161	но все	5	2
162	в частности	2	2
163	на том	2	2
164	все они	5	2
165	точку зрения	2	2
166	эти последние	2	2
167	одного и	3	2
168	что все	5	2
169	этом что	2	2
170	не более	2	2
171	совершенно иной	2	2
172	в тех	3	2
173	и того	3	2
174	в дальнейшем	2	2
175	ответить на	2	2
176	и при	6	2
177	что они	2	2
178	более или	7	2
179	чем в	3	2
180	по своему	5	2
181	и говорить	3	2
182	тем чтобы	2	2
183	и если	6	2
184	конечно не	3	2
185	может служить	3	2
186	иначе говоря	4	2
187	что если	3	2
188	лишь о	2	2
189	в котором	2	2
190	его в	5	2
191	отношению к	9	2
192	вместе с	6	2
193	вопросе о	2	2
194	или менее	7	2
195	и без	5	2
196	отличается от	6	2
197	то и	2	2
198	как к	5	2
199	только что	3	2
200	по происхождению	2	2
201	а потому	5	2
202	из того	4	2
203	совершенно ясно	2	2
204	тем же	2	2
205	принять во	2	2
206	так же	8	2
207	не знает	2	2
208	очень много	3	2
209	во всяком	2	2
210	что мы	4	2
211	на этом	2	2
212	если же	3	2
213	что эти	2	2
214	в этих	3	2
215	не то	3	2
216	отличие от	3	2
217	это конечно	2	2
218	но в	4	2
219	если это	2	2
220	для меня	4	2
