N	2gram	Nazirov_Tv_2	Morfolog
1	может быть	8	52
2	и т	13	49
3	т д	11	47
4	таким образом	10	20
5	не может	7	17
6	могут быть	2	15
7	и в	20	13
8	в этом	8	13
9	действующих лиц	2	13
10	и др	3	12
11	так как	3	12
12	мы видим	4	11
13	прежде всего	8	9
14	так и	6	9
15	то же	7	9
16	и не	9	9
17	а не	6	9
18	с другой	2	8
19	а затем	3	8
20	при помощи	2	8
21	но если	2	7
22	все же	5	7
23	это не	7	6
24	в том	8	6
25	но не	5	6
26	а в	4	6
27	не менее	2	5
28	в образе	3	5
29	наряду с	7	5
30	как бы	11	5
31	один из	3	5
32	то что	3	5
33	потому что	7	5
34	мы не	4	5
35	что в	7	4
36	вовсе не	2	4
37	героя в	4	4
38	об этом	4	4
39	что его	2	4
40	отношению к	3	4
41	на его	4	4
42	не только	13	4
43	как в	4	4
44	другой стороны	2	4
45	так же	5	4
46	по отношению	3	4
47	как и	6	4
48	хотя и	4	4
49	тем что	3	4
50	его в	3	4
51	ничего не	4	4
52	если бы	4	3
53	это уже	2	3
54	в начале	3	3
55	том что	4	3
56	но это	5	3
57	что они	4	3
58	в целом	6	3
59	он не	3	3
60	не является	3	3
61	но и	8	3
62	на него	2	3
63	с иваном	2	3
64	самом деле	2	3
65	и по	2	3
66	друг друга	2	3
67	из них	2	3
68	в руки	2	3
69	и ее	2	3
70	в то	10	3
71	героя и	2	3
72	начинается с	2	3
73	но в	4	3
74	ни к	2	2
75	в виде	2	2
76	в частности	2	2
77	его и	2	2
78	а во	2	2
79	к этому	3	2
80	е а	3	2
81	что он	6	2
82	так например	3	2
83	только в	2	2
84	для него	3	2
85	у нее	3	2
86	одной из	3	2
87	себя в	2	2
88	но эти	2	2
89	д в	3	2
90	и тогда	2	2
91	и только	2	2
92	а а	4	2
93	а с	3	2
94	все эти	4	2
95	не означает	2	2
96	и что	2	2
97	уже не	3	2
98	и его	9	2
99	этот вопрос	3	2
100	о том	5	2
101	одна из	3	2
