N	2gram	Potebnia_M_3	Vvedenie
1	и т	5	42
2	т д	3	36
3	и в	30	32
4	в том	32	31
5	в этом	10	30
6	может быть	28	26
7	том что	18	26
8	не только	21	22
9	для того	4	21
10	того чтобы	3	20
11	таким образом	14	19
12	то что	18	16
13	потому что	46	15
14	так как	13	15
15	не может	6	14
16	в самом	8	13
17	в нем	9	13
18	о том	2	13
19	со стороны	3	13
20	того что	18	12
21	в их	2	12
22	и не	15	12
23	как на	5	12
24	в его	4	12
25	только в	21	12
26	как мы	7	11
27	что такое	2	11
28	в ее	2	11
29	языка и	2	10
30	что в	17	10
31	и как	5	9
32	между тем	9	9
33	по себе	16	9
34	то же	23	9
35	не менее	5	8
36	с другой	7	8
37	а только	3	8
38	тем не	3	8
39	не в	15	8
40	именно в	3	8
41	прежде всего	3	7
42	в большей	2	7
43	смысле этого	7	7
44	точки зрения	2	7
45	но не	7	7
46	было бы	9	7
47	все же	2	7
48	самом деле	2	7
49	только как	5	7
50	не могут	5	6
51	из этих	9	6
52	до сих	3	6
53	же время	5	6
54	том чтобы	2	6
55	один из	4	6
56	но и	19	6
57	все это	4	6
58	и даже	2	6
59	в то	10	6
60	его в	3	6
61	с тем	7	6
62	представить себе	3	6
63	вовсе не	7	6
64	как и	10	6
65	сих пор	3	6
66	и его	4	6
67	тем что	7	6
68	и это	4	6
69	уже в	5	5
70	в какой	2	5
71	видеть что	2	5
72	так что	7	5
73	так например	2	5
74	как бы	3	5
75	и тем	5	5
76	в целом	3	5
77	а как	2	5
78	другой стороны	4	5
79	в которых	2	5
80	сказать что	5	5
81	в них	5	5
82	об этом	2	5
83	по своему	2	5
84	не есть	17	5
85	вместе с	12	5
86	т п	2	5
87	а не	15	5
88	что не	8	5
89	могут быть	3	5
90	независимо от	5	4
91	с этой	2	4
92	в каждом	3	4
93	как о	2	4
94	одной стороны	3	4
95	в котором	4	4
96	по мере	4	4
97	так или	2	4
98	по отношению	5	4
99	этом отношении	2	4
100	с одной	7	4
101	и что	10	4
102	не имеет	6	4
103	а в	12	4
104	одно из	5	4
105	в первом	3	4
106	от этого	2	4
107	в разных	2	4
108	по крайней	5	4
109	что он	6	4
110	еще не	5	4
111	крайней мере	5	4
112	отношению к	5	4
113	в своей	2	4
114	только что	8	4
115	в виде	2	4
116	уже не	6	4
117	той же	2	4
118	и то	8	4
119	само по	3	4
120	в себе	16	4
121	зависит от	6	3
122	сама по	2	3
123	что это	4	3
124	и есть	3	3
125	а потому	6	3
126	в собственном	2	3
127	можно сказать	3	3
128	к тому	7	3
129	сливается с	2	3
130	только по	5	3
131	но все	2	3
132	в этой	2	3
133	но что	2	3
134	что с	2	3
135	при этом	3	3
136	в ней	8	3
137	себе что	2	3
138	то это	6	3
139	к нему	3	3
140	мы видели	4	3
141	отношение к	2	3
142	из них	6	3
143	что она	3	3
144	в своем	5	3
145	в основании	2	3
146	так же	3	3
147	и на	3	3
148	языка в	5	3
149	говорить о	3	3
150	в начале	3	3
151	что даже	4	3
152	тогда когда	9	3
153	есть еще	3	3
154	если бы	12	3
155	не как	2	3
156	к этому	3	3
157	с понятием	2	3
158	что уже	2	3
159	связи с	2	3
160	в чем	3	3
161	одной из	2	3
162	в одном	2	3
163	в свое	2	3
164	что и	13	3
165	каждой из	3	3
166	собственном смысле	2	3
167	что же	2	3
168	в каком	5	3
169	от другой	2	3
170	и вообще	3	3
171	об отношении	4	3
172	ответ на	3	3
173	в области	2	3
174	до того	4	2
175	тому что	3	2
176	точно так	12	2
177	это в	2	2
178	но это	6	2
179	несмотря на	2	2
180	и той	2	2
181	из двух	3	2
182	не к	4	2
183	не говоря	3	2
184	природы и	2	2
185	от того	8	2
186	в форме	2	2
187	не было	4	2
188	и наоборот	4	2
189	этой стороны	2	2
190	есть только	5	2
191	должно быть	5	2
192	не столько	2	2
193	не следует	5	2
194	и с	2	2
195	с этим	6	2
196	искусства и	3	2
197	когда мы	2	2
198	бы в	2	2
199	так и	11	2
200	по содержанию	2	2
201	не существует	3	2
202	этого не	3	2
203	на котором	2	2
204	что собственно	2	2
205	большей части	2	2
206	есть не	7	2
207	его к	2	2
208	и при	4	2
209	тем более	4	2
210	что мы	8	2
211	мы должны	4	2
212	жизни и	2	2
213	мы уже	2	2
214	том же	2	2
215	этого слова	11	2
216	и до	2	2
217	мысли и	2	2
218	только на	3	2
219	и тогда	3	2
220	в языке	7	2
221	связь между	2	2
222	входит в	2	2
223	тогда как	2	2
224	того как	4	2
225	одной и	4	2
226	из того	2	2
227	деятельности и	2	2
228	мы не	9	2
229	тому как	5	2
230	в силу	3	2
231	мы можем	3	2
232	подобно тому	2	2
233	время в	3	2
234	еще раз	2	2
235	в каждой	4	2
236	но вместе	4	2
