N	2gram	Losev_Prob_5	Otkroven
1	у него	11	22
2	и в	30	19
3	но и	13	13
4	и не	12	13
5	в этом	17	12
6	а не	5	11
7	не в	7	11
8	может быть	7	11
9	не только	18	11
10	человека и	4	10
11	и все	9	10
12	в нем	6	10
13	никогда не	7	9
14	в самой	3	9
15	потому что	13	9
16	прежде всего	6	9
17	и он	4	8
18	он был	2	8
19	но он	5	7
20	он не	3	7
21	в его	12	7
22	как и	7	6
23	то что	18	5
24	а в	6	5
25	отношение к	2	5
26	в том	12	5
27	в этой	10	5
28	в самом	5	5
29	на земле	9	4
30	он сам	3	4
31	только и	3	4
32	того чтобы	2	4
33	что не	2	4
34	все в	3	4
35	и его	6	4
36	все эти	2	4
37	человек и	2	4
38	не может	5	4
39	что в	5	4
40	к нему	3	3
41	не могут	2	3
42	человеческого духа	2	3
43	это не	2	3
44	что он	7	3
45	того что	3	3
46	для того	3	3
47	хотя бы	2	3
48	еще не	3	3
49	все что	2	3
50	в себе	4	3
51	было бы	4	3
52	более всего	2	3
53	когда он	2	3
54	в русской	3	3
55	о том	12	3
56	с ним	3	3
57	как бы	6	3
58	уже в	2	2
59	все же	9	2
60	что и	6	2
61	ее в	2	2
62	он в	3	2
63	и для	6	2
64	с тем	5	2
65	так и	7	2
66	жизни в	4	2
67	в своем	11	2
68	что у	5	2
69	за все	2	2
70	не все	2	2
71	все еще	4	2
72	к этому	2	2
73	по себе	2	2
74	свободы и	4	2
75	и к	4	2
76	и никогда	3	2
77	человека а	2	2
78	в ее	3	2
79	его не	2	2
80	в которой	5	2
81	в других	3	2
82	том что	17	2
83	так что	11	2
84	в другом	3	2
85	и на	6	2
86	и то	5	2
87	что они	3	2
88	сказать что	9	2
89	и с	5	2
90	учение о	3	2
91	совсем не	3	2
92	тем что	2	2
93	даже и	4	2
94	него не	2	2
95	и нет	2	2
96	его в	6	2
97	в своей	22	2
98	так как	6	2
99	и о	5	2
100	ничего не	2	2
101	хотя и	8	2
102	но в	9	2
