N	3gram	Tiupa_Anal_1	Psycholo
1	для того чтобы	3	19
2	в том что	9	14
3	с одной стороны	3	12
4	о том что	3	6
5	в самом деле	2	5
6	с другой стороны	2	5
7	в этом отношении	2	3
8	из того что	3	3
9	то же самое	2	3
10	и т п	3	3
11	сами по себе	2	2
12	одного и того	2	2
13	в данном случае	2	2
14	в отличие от	6	2
15	в качестве своего	2	2
16	и того же	2	2
17	той или иной	6	2
18	не что иное	4	2
19	состоит в том	3	2
20	с точки зрения	4	2
21	в том и	2	2
22	не может быть	16	2
23	что иное как	5	2
24	в том чтобы	7	2
