N	2gram	Propp_Isto_2	OGranits
1	и в	15	13
2	и его	3	12
3	прежде всего	5	9
4	не может	5	8
5	и не	11	8
6	может быть	17	8
7	и их	2	7
8	и пр	7	7
9	в его	6	7
10	таким образом	7	6
11	не только	18	6
12	то что	12	6
13	только в	6	6
14	мы должны	4	6
15	как бы	6	6
16	все же	9	5
17	хотя бы	2	5
18	и наконец	5	5
19	то же	10	4
20	все это	3	4
21	мы не	3	4
22	мы можем	8	4
23	было бы	5	4
24	но в	6	4
25	связана с	6	3
26	отношению к	3	3
27	что в	12	3
28	никогда не	15	3
29	но и	14	3
30	так и	5	3
31	в их	3	3
32	по отношению	3	3
33	в одном	5	3
34	превращается в	2	3
35	здесь мы	3	3
36	самом деле	2	3
37	да и	2	3
38	как и	2	3
39	не в	7	3
40	в которой	2	3
41	и то	2	3
42	не столько	2	3
43	ни один	2	3
44	в себе	4	3
45	с этим	5	3
46	и для	2	3
47	так как	14	3
48	и др	4	2
49	подойти к	2	2
50	уже в	2	2
51	самого начала	2	2
52	в нем	7	2
53	ее в	2	2
54	а не	5	2
55	что эта	2	2
56	материал в	2	2
57	другой стороны	2	2
58	с другой	2	2
59	в связи	5	2
60	а в	12	2
61	с одной	4	2
62	все эти	4	2
63	роль в	3	2
64	в тех	2	2
65	с самого	2	2
66	к тому	5	2
67	как в	5	2
68	в том	6	2
69	что иное	2	2
70	так же	13	2
71	не мог	3	2
72	том что	7	2
73	мы видим	8	2
74	с ними	2	2
75	этот материал	2	2
76	что они	10	2
77	в этом	11	2
78	тем что	4	2
79	могут быть	2	2
80	при этом	4	2
81	и ее	2	2
82	не что	2	2
83	в другом	9	2
84	из тела	3	2
85	одной стороны	3	2
86	и может	2	2
87	мы уже	6	2
88	его на	2	2
89	нет ничего	2	2
90	мог бы	3	2
91	в ней	4	2
92	иное как	2	2
93	а также	2	2
