N	2gram	Nazirov_Tr_1	RusskieA
1	и в	18	29
2	что в	4	22
3	том что	4	22
4	в том	2	22
5	в поле	3	19
6	как бы	7	18
7	может быть	7	13
8	как и	5	11
9	одна из	2	11
10	в этом	9	11
11	все это	4	10
12	и с	7	10
13	не только	8	10
14	о том	2	9
15	но и	4	8
16	его в	2	8
17	данном случае	2	7
18	как в	3	7
19	с тем	2	6
20	еще не	4	6
21	при этом	3	6
22	и на	7	6
23	в данном	2	6
24	потому что	2	5
25	это не	5	5
26	то что	4	5
27	и что	4	5
28	к жизни	5	5
29	не может	5	5
30	но в	6	5
31	о чем	3	4
32	и все	4	4
33	вопрос о	2	4
34	уже не	2	4
35	так что	2	4
36	не в	2	4
37	к нему	3	4
38	так же	4	4
39	то и	2	4
40	то же	5	4
41	в таком	2	4
42	в виде	2	4
43	как это	3	4
44	тем что	2	3
45	в году	9	3
46	в ее	2	3
47	до конца	2	3
48	что она	2	3
49	не имеет	2	3
50	в отличие	2	3
51	все эти	3	3
52	друг друга	2	3
53	в этой	4	3
54	что это	5	3
55	отличие от	2	3
56	об этом	4	2
57	никогда не	2	2
58	в образе	6	2
59	прежде всего	4	2
60	не был	2	2
61	что и	2	2
62	что с	3	2
63	говорит о	2	2
64	и как	3	2
65	в глаза	2	2
66	бросается в	2	2
67	еще в	2	2
68	она как	2	2
69	один из	3	2
70	все же	5	2
71	вряд ли	2	2
72	ее к	2	2
73	должно быть	3	2
74	жизнь и	3	2
75	и то	2	2
76	и ее	2	2
77	в то	5	2
