N	2gram	Losev_Vlad_1	Morfolog
1	может быть	6	52
2	и т	2	49
3	т д	2	47
4	таким образом	3	20
5	не может	6	17
6	и в	31	13
7	в этом	14	13
8	так как	8	12
9	так и	6	9
10	в связи	3	9
11	то же	6	9
12	и не	17	9
13	с другой	3	8
14	по существу	2	8
15	что и	5	8
16	в результате	2	8
17	в тех	2	7
18	в качестве	6	7
19	все же	3	7
20	и здесь	3	6
21	в том	11	6
22	но не	3	6
23	а также	5	6
24	а в	9	6
25	во время	3	6
26	не менее	2	5
27	этот момент	2	5
28	мы увидим	3	5
29	один из	4	5
30	то что	18	5
31	потому что	11	5
32	и затем	2	4
33	что в	14	4
34	и как	4	4
35	вовсе не	5	4
36	об этом	7	4
37	увидим ниже	3	4
38	что его	4	4
39	тем не	2	4
40	было бы	2	4
41	на его	3	4
42	несмотря на	4	4
43	не только	24	4
44	как в	3	4
45	как мы	9	4
46	другой стороны	3	4
47	тех же	2	4
48	как и	4	4
49	то мы	3	4
50	хотя и	4	4
51	тем что	2	4
52	точки зрения	2	4
53	видно что	5	4
54	на этом	2	4
55	также и	10	4
56	ничего не	3	4
57	только что	2	3
58	в нашем	4	3
59	в начале	3	3
60	том что	14	3
61	но это	3	3
62	что они	3	3
63	в целом	3	3
64	кроме того	7	3
65	того чтобы	2	3
66	он не	10	3
67	ни в	2	3
68	но и	19	3
69	на него	3	3
70	и по	8	3
71	к нему	4	3
72	и для	2	3
73	а по	2	3
74	из них	2	3
75	в то	8	3
76	мы должны	2	3
77	с того	2	3
78	но в	12	3
79	совсем не	4	2
80	с тем	2	2
81	в виде	3	2
82	в частности	2	2
83	и за	2	2
84	хотя бы	2	2
85	к этому	6	2
86	что он	12	2
87	можно сказать	6	2
88	так например	2	2
89	и к	6	2
90	на первый	2	2
91	в в	3	2
92	из его	4	2
93	только в	9	2
94	от него	2	2
95	то время	2	2
96	для него	7	2
97	одной из	2	2
98	мы уже	7	2
99	себя в	4	2
100	то как	2	2
101	или менее	3	2
102	а а	4	2
103	а с	5	2
104	все эти	3	2
105	и что	6	2
106	к себе	2	2
107	того что	2	2
108	для того	2	2
109	что такое	2	2
110	уже не	3	2
111	и его	7	2
112	в каком	2	2
113	что мы	2	2
114	о том	11	2
115	в свое	5	2
116	ясно что	2	2
117	здесь не	3	2
118	сказать что	7	2
119	как это	7	2
120	более или	3	2
121	это было	6	2
