N	2gram	Medvedev_S_1	Myshleni
1	таким образом	2	26
2	в том	5	24
3	и в	3	23
4	том что	2	21
5	то что	2	17
6	в этом	5	17
7	не только	3	16
8	что в	2	14
9	может быть	2	14
10	но и	2	14
11	в его	3	14
12	как бы	2	11
13	то же	2	8
14	по отношению	2	7
15	отношению к	2	7
16	все это	7	6
17	только в	2	6
18	и что	2	5
19	тем более	2	5
20	не в	3	4
21	в результате	2	4
22	по существу	2	4
23	было бы	2	4
24	и мы	2	3
25	в частности	2	2
26	или даже	2	2
27	в конце	2	2
28	в смысле	2	2
29	нашей науки	2	2
30	главным образом	2	2
31	за пределы	2	2
