N	2gram	Medvedev_V_1	Sotsiolo
1	все это	10	7
2	в том	15	5
3	в этом	26	5
4	не в	6	3
5	в его	14	3
6	и в	26	3
7	не только	25	3
8	по отношению	7	2
9	еще не	2	2
10	было бы	7	2
11	только в	7	2
12	идей и	3	2
13	в конце	3	2
14	по существу	3	2
15	это и	6	2
16	таким образом	31	2
17	том что	8	2
18	далеко не	2	2
19	то же	10	2
20	отношению к	7	2
21	то что	6	2
22	главным образом	7	2
23	может быть	22	2
24	в результате	5	2
25	в частности	11	2
26	но и	10	2
27	очевидно что	7	2
28	и заключается	2	2
29	как бы	5	2
30	конце концов	2	2
31	что в	10	2
