N	2gram	Tiupa_Anal_1	Myshleni
1	в процессе	2	27
2	и в	18	25
3	в том	27	23
4	на основе	2	22
5	том что	12	20
6	внутренней речи	5	19
7	что в	5	17
8	таким образом	3	17
9	в основе	6	16
10	как и	13	15
11	то что	6	15
12	в его	13	15
13	в этом	13	14
14	вместе с	4	14
15	может быть	29	13
16	в целом	5	13
17	между собой	2	13
18	так как	2	12
19	в качестве	31	12
20	могли бы	2	11
21	как бы	5	10
22	и не	21	10
23	того что	4	10
24	было бы	2	10
25	что и	3	10
26	только в	6	10
27	ни в	4	9
28	того чтобы	3	8
29	не является	2	8
30	как мы	2	8
31	столь же	4	7
32	все эти	2	7
33	что мы	3	7
34	по себе	4	7
35	по своей	6	7
36	для того	4	7
37	в области	4	7
38	с другой	4	6
39	как уже	2	6
40	в собственном	3	6
41	не в	14	6
42	совпадает с	2	6
43	один из	2	6
44	не может	22	6
45	и на	5	6
46	потому что	2	6
47	что он	3	6
48	в силу	3	6
49	представляет собой	16	6
50	но не	10	6
51	того же	4	6
52	не только	15	6
53	все же	4	6
54	в отличие	6	6
55	точки зрения	6	6
56	отличие от	6	6
57	так и	4	5
58	именно в	4	5
59	и как	5	5
60	для него	2	5
61	одной стороны	3	5
62	при этом	12	5
63	одним из	3	5
64	с одной	3	5
65	и по	2	5
66	если бы	3	5
67	и к	3	5
68	о том	5	5
69	как говорит	2	5
70	из которых	4	5
71	могут быть	4	5
72	в этой	5	5
73	не могут	3	4
74	в частности	19	4
75	никогда не	2	4
76	в какой	2	4
77	из этих	2	4
78	прежде всего	6	4
79	к тому	7	4
80	отнюдь не	15	4
81	из них	2	4
82	но и	17	4
83	не столько	2	4
84	а в	9	4
85	в то	9	4
86	с ним	4	4
87	мы имеем	6	4
88	тогда когда	2	4
89	и все	3	4
90	и того	5	4
91	одного и	2	4
92	еще не	3	4
93	он не	3	4
94	той же	2	4
95	этого слова	7	4
96	в себя	6	3
97	на этом	2	3
98	и сам	2	3
99	в самом	6	3
100	имеет место	5	3
101	в котором	3	3
102	если в	3	3
103	который в	2	3
104	другой стороны	2	3
105	отличается от	2	3
106	по отношению	6	3
107	этом отношении	2	3
108	между тем	5	3
109	как он	3	3
110	в случае	6	3
111	состоит в	11	3
112	его к	2	3
113	то в	2	3
114	или иной	6	3
115	сами по	2	3
116	не есть	8	3
117	дело с	4	3
118	а с	3	3
119	как известно	3	3
120	которые в	2	3
121	место в	3	2
122	то же	9	2
123	и одновременно	3	2
124	одного из	2	2
125	ни было	4	2
126	всякий раз	3	2
127	имеем дело	4	2
128	такого рода	5	2
129	той или	6	2
130	в роли	2	2
131	в нем	3	2
132	для этого	2	2
133	того и	3	2
134	должно быть	2	2
135	что как	3	2
136	на себя	2	2
137	каждый из	2	2
138	на его	2	2
139	в начале	2	2
140	того или	3	2
141	бы быть	3	2
142	образом не	2	2
143	между двумя	3	2
144	с его	3	2
145	однако в	3	2
146	и другого	4	2
147	говорит и	2	2
148	или иного	3	2
149	и заключается	2	2
150	в таком	3	2
151	иначе говоря	9	2
152	и потому	2	2
153	а также	3	2
154	и процессы	2	2
155	еще в	2	2
156	вопрос об	3	2
157	отношению к	5	2
158	не будет	3	2
159	в мире	8	2
160	в своей	6	2
161	другого в	3	2
162	из того	4	2
163	уже не	4	2
164	тем самым	7	2
165	едва ли	2	2
166	и его	5	2
167	с другими	4	2
168	тому как	3	2
169	и то	2	2
170	вступает в	3	2
171	в себе	11	2
172	а как	2	2
