N	2gram	Propp_Russ_1	Myslijsy
1	потому что	10	49
2	для нас	6	31
3	то есть	3	30
4	и в	36	24
5	может быть	8	23
6	то что	6	20
7	и не	6	19
8	а не	2	18
9	в том	17	18
10	что в	19	16
11	не только	22	15
12	при этом	6	13
13	но не	2	12
14	не может	4	12
15	то же	3	12
16	мы можем	2	12
17	что и	7	11
18	вместе с	10	11
19	мы не	6	11
20	только в	4	11
21	таким образом	6	11
22	так что	2	10
23	как в	5	10
24	тогда как	2	10
25	так как	15	10
26	независимо от	2	9
27	в нем	2	9
28	как бы	5	9
29	но и	16	9
30	а в	9	8
31	том что	19	8
32	и на	10	8
33	в этом	12	8
34	могут быть	2	8
35	во всех	4	7
36	как и	10	7
37	того что	4	7
38	тем что	4	7
39	с этим	2	7
40	того как	5	7
41	связи с	4	6
42	в одном	3	6
43	и как	2	6
44	свою очередь	2	6
45	не можем	3	6
46	в свою	3	6
47	тем не	3	6
48	и т	10	6
49	не было	2	6
50	не имеет	6	6
51	на другие	2	6
52	между тем	7	6
53	между двумя	2	6
54	этого слова	3	6
55	слова в	3	5
56	не менее	3	5
57	с ним	2	5
58	что они	7	5
59	о том	8	5
60	и их	4	5
61	судя по	2	5
62	так и	7	5
63	в них	6	5
64	а и	5	5
65	из них	8	5
66	только для	2	5
67	все же	5	5
68	во время	14	4
69	главным образом	2	4
70	из этих	4	4
71	уже не	6	4
72	такой же	2	4
73	одна из	4	4
74	еще не	4	4
75	между прочим	2	4
76	в некоторых	4	4
77	так в	4	4
78	и что	4	4
79	к другому	2	4
80	как он	2	4
81	там где	2	4
82	с тем	8	4
83	в других	11	4
84	но в	2	4
85	что это	3	3
86	но даже	2	3
87	так например	6	3
88	это не	10	3
89	на все	2	3
90	думать что	3	3
91	хотя и	2	3
92	от них	3	3
93	что на	4	3
94	только по	2	3
95	но тем	2	3
96	но это	4	3
97	например в	2	3
98	не совсем	4	3
99	в ней	2	3
100	если в	3	3
101	но она	2	3
102	не с	3	3
103	в целом	2	3
104	как не	2	3
105	что она	2	3
106	находится в	2	3
107	т д	9	3
108	и у	5	3
109	и для	2	3
110	во многих	5	3
111	с ними	5	3
112	одно из	5	3
113	как например	3	3
114	далеко не	3	3
115	в этих	3	3
116	полагает что	6	3
117	которые не	3	3
118	в каждом	2	2
119	всех этих	2	2
120	с в	4	2
121	в нашем	2	2
122	связанные с	3	2
123	что у	2	2
124	в какой	2	2
125	в жизни	2	2
126	состоит в	8	2
127	к этому	4	2
128	значение и	2	2
129	животных и	4	2
130	после того	2	2
131	у нас	8	2
132	такое же	2	2
133	но все	3	2
134	все эти	2	2
135	так же	3	2
136	что ему	2	2
137	у него	2	2
138	но что	2	2
139	связь между	2	2
140	имеет место	2	2
141	сходство между	2	2
142	у и	2	2
143	к таким	3	2
144	к ней	2	2
145	в его	2	2
146	не знали	2	2
147	и потому	2	2
148	себя и	2	2
149	его с	4	2
150	один из	8	2
151	но эти	3	2
152	разница между	2	2
153	все это	6	2
154	для обозначения	2	2
155	воспоминания о	2	2
156	в связи	4	2
157	а а	25	2
158	а с	4	2
159	и других	7	2
160	на самом	2	2
161	мы видим	2	2
162	и по	8	2
163	как это	8	2
164	или в	2	2
165	и здесь	2	2
166	их в	3	2
167	тому что	4	2
168	не на	2	2
169	мы должны	2	2
170	на этом	3	2
171	к нам	2	2
172	и поэтому	2	2
