N	3gram	Vygotskiy__2	Freidism
1	с точки зрения	18	11
2	по отношению к	5	8
3	во всяком случае	6	7
4	не может быть	6	7
5	в самом деле	4	6
6	в данном случае	3	4
7	в зависимости от	6	4
8	как мы уже	3	4
9	на самом деле	2	4
10	на этот вопрос	5	3
11	к тому чтобы	2	3
12	в собственном смысле	3	3
13	в конечном счете	4	3
14	для того чтобы	10	3
15	с помощью которого	2	2
16	то же самое	2	2
17	с одной стороны	7	2
18	а с другой	4	2
19	мы видели что	3	2
20	в отличие от	3	2
21	в этом отношении	3	2
22	в высшей степени	7	2
