N	2gram	Trubetskoy_1	SlovoVZh
1	не может	4	16
2	точки зрения	13	14
3	может быть	10	14
4	как бы	12	13
5	таким образом	22	12
6	и в	26	12
7	отношению к	3	11
8	и не	8	10
9	если бы	3	9
10	так как	9	9
11	прежде всего	2	8
12	сказать что	2	7
13	творца и	2	7
14	в нем	4	6
15	в процессе	2	6
16	при этом	3	6
17	в том	11	6
18	только в	4	6
19	то что	7	5
20	никогда не	5	5
21	а не	5	5
22	можно сказать	3	5
23	то же	4	5
24	хотя бы	3	5
25	том что	7	5
26	что мы	2	5
27	но в	7	5
28	в виду	2	5
29	и к	5	4
30	ни было	2	4
31	все же	6	4
32	отношение к	5	4
33	жизни и	2	4
34	так и	6	4
35	с другой	8	4
36	уже не	3	4
37	не в	2	4
38	в этом	15	4
39	и на	2	4
40	в самом	4	4
41	к нему	7	4
42	и является	2	4
43	не только	10	4
44	в котором	4	3
45	в них	2	3
46	бы то	2	3
47	не к	2	3
48	не менее	3	3
49	когда он	3	3
50	быть и	2	3
51	сих пор	5	3
52	все это	6	3
53	то ни	2	3
54	и по	4	3
55	все эти	6	3
56	так называемой	2	3
57	ясно что	3	3
58	этой точки	2	3
59	но и	9	3
60	того что	3	3
61	и наконец	2	3
62	и проч	2	3
63	тем не	3	3
64	так же	5	3
65	и с	10	3
66	о том	6	3
67	в себе	6	3
68	для него	3	3
69	до сих	5	3
70	еще не	2	3
71	и для	5	3
72	конечно не	2	3
73	из этого	2	3
74	между тем	2	3
75	перестает быть	2	2
76	уже в	2	2
77	с этой	3	2
78	с его	2	2
79	что и	6	2
80	но все	7	2
81	что в	9	2
82	на все	2	2
83	вместе с	15	2
84	общего с	2	2
85	в этих	4	2
86	в своем	3	2
87	в отношении	6	2
88	мы имеем	2	2
89	и все	2	2
90	и другие	3	2
91	тому же	5	2
92	тогда когда	2	2
93	с одной	7	2
94	к этому	3	2
95	связь с	2	2
96	те же	2	2
97	и что	4	2
98	с точки	6	2
99	и здесь	2	2
100	же самое	2	2
101	как на	8	2
102	и те	3	2
103	с другими	4	2
104	мы можем	2	2
105	но не	8	2
106	в то	4	2
107	одной стороны	7	2
108	героев и	2	2
109	к ним	3	2
110	к его	2	2
111	он не	4	2
112	в его	5	2
113	и потому	6	2
114	относится к	2	2
115	из него	2	2
