N	2gram	Vinokur_Vv_1	Psycholo
1	то что	17	44
2	и в	27	33
3	в этом	34	28
4	как бы	5	25
5	и что	4	25
6	потому что	14	24
7	для того	21	23
8	может быть	24	22
9	том что	26	22
10	того чтобы	21	22
11	что в	11	21
12	в том	31	21
13	о том	15	20
14	что он	4	20
15	только что	4	15
16	как это	5	14
17	что это	3	13
18	таким образом	19	13
19	и не	13	13
20	так же	3	13
21	сказать что	5	13
22	все это	6	13
23	к тому	4	12
24	в самом	12	12
25	так как	13	12
26	было бы	5	12
27	самом деле	6	12
28	что она	3	10
29	не может	13	10
30	в его	10	10
31	как она	4	10
32	если бы	2	10
33	в этой	3	9
34	по себе	9	9
35	как раз	4	9
36	то же	8	9
37	в конце	3	8
38	для этого	3	8
39	вместе с	6	8
40	как будто	3	8
41	в своем	3	7
42	до конца	3	7
43	так что	5	7
44	в нем	13	7
45	не только	21	7
46	тому что	2	6
47	это не	8	6
48	в ней	3	6
49	и т	43	6
50	после этого	2	6
51	все эти	3	6
52	и вот	3	6
53	точки зрения	7	6
54	что мы	2	6
55	же самое	2	6
56	когда мы	2	6
57	как на	11	6
58	в сущности	3	6
59	а не	3	6
60	в себе	4	6
61	казалось бы	2	5
62	никогда не	3	5
63	в какой	4	5
64	нисколько не	3	5
65	и как	9	5
66	в целом	5	5
67	мы не	2	5
68	и на	3	5
69	вовсе не	6	5
70	и совершенно	2	5
71	как он	6	5
72	только после	2	5
73	мы можем	2	5
74	ясно что	9	5
75	с этим	2	5
76	как и	5	5
77	и его	5	5
78	все же	8	5
79	заключается в	4	5
80	и это	6	5
81	и есть	3	4
82	в частности	3	4
83	это в	2	4
84	так например	6	4
85	том чтобы	6	4
86	и уже	3	4
87	из них	3	4
88	жизни и	2	4
89	а в	5	4
90	и других	3	4
91	не просто	4	4
92	того что	12	4
93	с этой	4	4
94	при помощи	2	4
95	с тем	6	4
96	к этому	3	4
97	об этом	5	4
98	у нас	2	4
99	одна из	2	4
100	говорит о	3	4
101	себя в	2	4
102	в своей	4	4
103	как мы	9	4
104	что не	5	4
105	с точки	2	4
106	той же	4	4
107	можно было	7	4
108	исследования и	2	4
109	этот вопрос	4	4
110	только в	13	4
111	в основу	2	3
112	сама по	3	3
113	же как	3	3
114	что если	2	3
115	с одной	4	3
116	что оно	2	3
117	точно так	2	3
118	что именно	2	3
119	что может	3	3
120	должно быть	2	3
121	на этом	3	3
122	одной стороны	4	3
123	например в	2	3
124	но если	3	3
125	всяком случае	3	3
126	какой бы	2	3
127	то это	3	3
128	но и	5	3
129	и до	2	3
130	понятно что	3	3
131	в своих	2	3
132	в которых	6	3
133	в то	5	3
134	его в	6	3
135	видит в	4	3
136	должен был	4	3
137	смысле этого	8	3
138	в одном	4	3
139	говорить о	3	3
140	но не	7	3
141	от действительности	2	3
142	до сих	5	3
143	применительно к	2	3
144	конце концов	2	3
145	речь идет	2	3
146	что и	3	3
147	сих пор	5	3
148	да и	4	3
149	дело с	6	3
150	слова как	2	3
151	и сейчас	2	3
152	из которых	2	3
153	и для	4	3
154	во всяком	3	3
155	от этого	5	3
156	тем что	6	3
157	в виде	4	3
158	к делу	3	3
159	т п	5	3
160	этого слова	2	3
161	в той	7	3
162	на этот	4	3
163	это делает	2	2
164	уже в	5	2
165	бы и	2	2
166	с чем	2	2
167	самое что	2	2
168	с другой	8	2
169	из этих	5	2
170	прежде всего	8	2
171	вопрос о	8	2
172	с конца	2	2
173	со всей	3	2
174	в тех	2	2
175	но все	3	2
176	из его	2	2
177	времени и	4	2
178	же время	5	2
179	при этом	3	2
180	себе и	2	2
181	и той	2	2
182	в виду	4	2
183	в котором	4	2
184	один из	6	2
185	о них	2	2
186	она есть	5	2
187	в их	11	2
188	другой стороны	5	2
189	т д	37	2
190	именно в	8	2
191	не имеет	4	2
192	есть только	2	2
193	в результате	3	2
194	и с	2	2
195	одно из	5	2
196	именно как	3	2
197	во всем	2	2
198	также и	16	2
199	не в	8	2
200	на нее	2	2
201	мы имеем	3	2
202	но в	10	2
203	приходим к	3	2
204	а как	3	2
205	в них	4	2
206	лежит в	2	2
207	на тему	2	2
208	надо было	2	2
209	о которых	2	2
210	в ее	11	2
211	по существу	2	2
212	представляет собой	12	2
213	чтобы он	2	2
214	можно сказать	3	2
215	во всех	2	2
216	однако не	4	2
217	критики и	2	2
218	и именно	12	2
219	со стороны	12	2
220	внимание на	4	2
221	одной и	2	2
222	хотя бы	5	2
223	и то	5	2
224	в руки	6	2
225	и ее	4	2
226	связи с	3	2
227	так чтобы	3	2
228	только с	3	2
229	ничего не	2	2
230	того не	2	2
231	что нет	2	2
