N	2gram	Bakhtin_sl_1	DiskursI
1	в качестве	3	34
2	не только	16	28
3	в том	3	23
4	а не	15	22
5	то есть	26	20
6	том что	2	19
7	может быть	14	17
8	и в	41	16
9	как и	4	16
10	в этом	12	15
11	еще не	4	14
12	но и	16	14
13	при этом	6	13
14	прежде всего	8	11
15	но не	2	11
16	и не	16	11
17	с другой	5	10
18	как в	8	10
19	далеко не	5	10
20	в частности	2	9
21	в нем	30	9
22	одной стороны	4	9
23	не может	14	9
24	с одной	4	9
25	а также	2	8
26	так и	11	8
27	о том	3	8
28	но в	8	8
29	в основе	5	7
30	в его	13	7
31	то же	14	7
32	не было	3	7
33	роль в	2	7
34	в себе	3	7
35	только в	6	7
36	не в	7	7
37	в своем	3	6
38	к тому	3	5
39	или иной	9	5
40	можно сказать	2	5
41	как бы	12	5
42	в котором	2	5
43	в своей	7	5
44	во всех	17	5
45	в процессе	4	5
46	а с	2	5
47	а в	6	5
48	в их	4	5
49	и на	14	5
50	в данном	3	5
51	с его	4	4
52	не является	2	4
53	в них	6	4
54	не как	4	4
55	и к	5	4
56	уже не	2	4
57	для него	3	4
58	в истории	3	4
59	в целом	2	4
60	не предполагает	2	4
61	же время	12	4
62	одной из	3	4
63	связи с	2	4
64	на его	8	4
65	такого рода	2	4
66	и о	2	4
67	жанра в	4	4
68	отношение к	7	4
69	по своим	6	4
70	в особенности	8	4
71	лишь в	4	4
72	потому что	2	4
73	между тем	2	4
74	могут быть	19	4
75	перед нами	4	3
76	того же	6	3
77	столь же	2	3
78	это не	6	3
79	в ее	2	3
80	свою очередь	2	3
81	по своему	2	3
82	в свою	3	3
83	различия между	2	3
84	с этим	3	3
85	в самом	5	3
86	той или	9	3
87	один из	4	3
88	не с	2	3
89	хотя бы	3	3
90	все же	7	3
91	из них	3	3
92	таким образом	9	3
93	именно в	3	3
94	того что	3	3
95	другой стороны	4	3
96	и даже	6	3
97	сказать что	2	3
98	точки зрения	16	3
99	в то	14	3
100	также и	3	3
101	в первом	3	3
102	зрения на	7	3
103	и потому	4	3
104	автор и	2	3
105	слова в	8	2
106	известной степени	4	2
107	одновременно и	2	2
108	никогда не	3	2
109	этого жанра	2	2
110	между собой	2	2
111	и одновременно	2	2
112	или даже	2	2
113	и во	3	2
114	или меньшей	4	2
115	и все	4	2
116	в одном	2	2
117	одного из	2	2
118	в каждом	4	2
119	к этому	2	2
120	для понимания	2	2
121	эти жанры	2	2
122	его как	2	2
123	как его	5	2
124	в пределах	14	2
125	более того	3	2
126	в построении	2	2
127	более или	3	2
128	на этом	2	2
129	большей или	4	2
130	чем он	2	2
131	в сущности	13	2
132	одним из	4	2
133	хотя и	2	2
134	о нем	4	2
135	и др	14	2
136	например в	2	2
137	оно не	6	2
138	точка зрения	8	2
139	не могло	3	2
140	и тем	2	2
141	не есть	2	2
142	с ее	4	2
143	того или	2	2
144	себя в	9	2
145	на том	2	2
146	дело не	2	2
147	или менее	3	2
148	данном случае	3	2
149	за пределы	4	2
150	языка и	12	2
151	как к	2	2
152	к лирике	2	2
153	как мы	8	2
154	и по	2	2
155	эпохи и	2	2
156	высказывания и	2	2
157	слово не	2	2
158	и его	14	2
159	говорящего и	2	2
160	или в	8	2
161	высказывания не	2	2
162	здесь в	4	2
163	во всяком	7	2
164	и композиционно	2	2
165	и ее	3	2
166	в другом	2	2
167	на протяжении	2	2
168	и вообще	2	2
169	автора в	2	2
170	внутренней речи	3	2
171	так сказать	5	2
172	влияния на	3	2
173	диалогические отношения	2	2
