N	2gram	Losev_Dial_2	Literetu
1	не только	19	24
2	при этом	4	19
3	но и	12	17
4	а не	16	16
5	в том	14	16
6	в частности	2	15
7	том что	10	14
8	может быть	20	13
9	и не	30	12
10	в этом	8	12
11	прежде всего	8	11
12	в своем	4	11
13	то что	14	10
14	или иначе	2	9
15	так или	2	8
16	не в	8	8
17	и в	19	8
18	только в	5	8
19	как это	7	8
20	не менее	3	7
21	я не	6	7
22	как бы	14	7
23	уже не	3	7
24	в себе	15	7
25	я и	2	7
26	в жизни	2	6
27	и я	2	6
28	как и	10	6
29	связи с	4	6
30	себя в	2	6
31	того что	6	6
32	точки зрения	12	6
33	что он	6	5
34	же в	2	5
35	же время	5	5
36	как в	2	5
37	не может	9	5
38	то же	12	5
39	уже в	4	5
40	в данном	3	5
41	в то	6	5
42	это не	10	4
43	в конце	2	4
44	в силу	5	4
45	но не	6	4
46	еще не	4	4
47	все же	4	4
48	из них	3	4
49	в своей	8	4
50	данном случае	2	4
51	так и	10	4
52	никогда не	9	4
53	в связи	4	4
54	и его	5	4
55	как раз	5	4
56	в своих	2	4
57	не как	2	4
58	в этой	3	4
59	не было	3	3
60	в душе	7	3
61	что в	7	3
62	и есть	4	3
63	с другой	5	3
64	да и	6	3
65	субъекта и	4	3
66	и прежде	2	3
67	например в	2	3
68	в самом	5	3
69	несмотря на	2	3
70	же и	9	3
71	в сфере	2	3
72	жизни и	6	3
73	силу своей	2	3
74	в их	2	3
75	а в	4	3
76	таким образом	4	3
77	тем же	2	3
78	и даже	14	3
79	потому что	14	3
80	во всяком	2	3
81	одно из	4	3
82	нуждается в	3	3
83	но в	2	3
84	по своей	4	3
85	также и	2	3
86	его в	3	3
87	в области	2	3
88	в виду	5	3
89	во мне	4	2
90	на этом	2	2
91	должна быть	5	2
92	это уже	2	2
93	отнюдь не	6	2
94	дело не	2	2
95	та же	4	2
96	и нет	2	2
97	человека и	2	2
98	а потому	2	2
99	же это	4	2
100	в мире	2	2
101	к тому	2	2
102	а только	3	2
103	тем не	2	2
104	в другом	4	2
105	что я	2	2
106	было бы	3	2
107	мы в	2	2
108	за пределы	4	2
109	в искусстве	2	2
110	всяком случае	2	2
111	даже в	3	2
112	говоря уже	2	2
113	в нем	10	2
114	то это	2	2
115	не есть	47	2
116	только то	4	2
117	в сущности	2	2
118	жизни с	2	2
119	не говоря	2	2
120	не на	2	2
121	и только	4	2
122	по этой	2	2
123	с одной	2	2
124	все эти	2	2
125	имеется в	2	2
126	чтобы не	6	2
127	это как	3	2
128	самом деле	4	2
129	что не	6	2
130	что такое	3	2
131	хотя бы	4	2
132	с точки	8	2
133	но без	3	2
134	в сферу	2	2
135	и то	7	2
136	между тем	2	2
137	тем что	2	2
138	могут быть	4	2
139	как будто	7	2
140	о том	5	2
141	как он	4	2
142	поэзии и	4	2
