N	2gram	Tiupa_Narr_1	Vladivir
1	и в	19	31
2	не только	32	24
3	но и	23	19
4	то что	11	18
5	и не	20	17
6	у него	4	15
7	и даже	3	15
8	том что	14	14
9	что в	3	14
10	в этом	17	14
11	и с	4	14
12	что он	6	12
13	в его	9	12
14	но в	6	12
15	с его	6	11
16	в том	18	11
17	о том	6	11
18	он не	3	10
19	никогда не	3	9
20	как мы	3	9
21	а в	11	9
22	только в	4	9
23	в то	3	8
24	уже в	3	7
25	для него	2	7
26	о нем	4	7
27	как раз	2	7
28	и его	5	7
29	как это	6	7
30	сказать что	4	7
31	можно сказать	5	6
32	в качестве	21	6
33	и потому	2	6
34	может быть	25	6
35	его жизни	2	6
36	так и	9	6
37	не может	10	6
38	то же	4	6
39	а с	3	5
40	не в	14	5
41	но как	2	5
42	а также	7	5
43	жизни и	3	5
44	когда он	3	5
45	не было	2	5
46	после смерти	2	4
47	же время	4	4
48	в своем	2	4
49	что у	2	4
50	и все	2	4
51	в нем	4	4
52	в себе	8	4
53	да и	4	4
54	как и	7	4
55	и как	5	4
56	в этой	5	4
57	по своей	3	4
58	такого рода	7	4
59	он уже	2	4
60	хотя и	3	4
61	один из	3	4
62	себя в	5	4
63	в особенности	4	4
64	несмотря на	2	4
65	к нему	5	4
66	к тому	7	3
67	отнюдь не	5	3
68	с другой	8	3
69	как в	7	3
70	но не	5	3
71	что они	3	3
72	более или	2	3
73	ничего не	2	3
74	за границу	3	3
75	все же	7	3
76	отношение к	2	3
77	на него	3	3
78	или менее	2	3
79	другой стороны	4	3
80	в связи	2	3
81	все эти	2	3
82	если не	4	3
83	не мог	4	3
84	уже не	5	3
85	и он	3	3
86	и на	3	3
87	что касается	2	3
88	на себя	3	3
89	здесь не	4	3
90	то есть	19	3
91	тем что	3	2
92	он сам	2	2
93	не менее	3	2
94	в частности	14	2
95	нет и	2	2
96	хотя бы	4	2
97	по существу	2	2
98	не столько	4	2
99	на первый	2	2
100	одной из	4	2
101	все было	3	2
102	тем не	3	2
103	ни в	3	2
104	тому же	5	2
105	это и	3	2
106	тем более	2	2
107	как было	3	2
108	и тот	2	2
109	еще не	7	2
110	при этом	9	2
111	было бы	4	2
112	совершенно не	2	2
113	что на	2	2
114	ему в	2	2
115	одним из	2	2
116	даже в	2	2
117	и до	2	2
118	которого он	2	2
119	в детстве	5	2
120	из них	3	2
121	всей его	2	2
122	со стороны	9	2
123	а именно	3	2
124	даже не	3	2
125	как к	2	2
126	и для	2	2
127	и сейчас	2	2
128	тем самым	6	2
129	что мы	2	2
130	времени в	2	2
131	а по	2	2
132	в результате	2	2
133	пока еще	4	2
134	за границей	4	2
135	точки зрения	10	2
136	к себе	5	2
137	из этих	3	2
138	из многочисленных	2	2
